Index,Citation
1,"Wenbin Dai, Yingyue Zhang, Lingbo Kong, James H. Christensen, Dan Huang,  ""Design of Industrial Edge Applications Based on IEC 61499 Microservices and Containers,""  IEEE Transactions on Industrial Informatics, vol. 19, no. 7, pp. 7925-7935, July 2023.  DOI: 10.1109/TII.2022.3214759  Available: https://dblp.org/rec/journals/tii/DaiZKCH23.html"
2,"Eric Ke Wang, Zicong Chen, Mingjia Zhu, Siu-Ming Yiu, Chien-Ming Chen, Mohammad Mehedi Hassan, Stefano Izzo, Giancarlo Fortino,  ""Statistics-Physics-Based Interpretation of the Classification Reliability of Convolutional Neural Networks in Industrial Automation Domain,""  IEEE Transactions on Industrial Informatics, vol. 19, no. 8, pp. 2165-2172, Aug. 2023.  DOI: 10.1109/TII.2022.3231458  Available: https://dblp.org/rec/journals/tii/WangCZYCHIF23.html"
3,"Vuk Lesi, Zivana Jakovljevic, Miroslav Pajic,  ""IoT-Enabled Motion Control: Architectural Design Challenges and Solutions,""  IEEE Transactions on Industrial Informatics, vol. 19, no. 3, pp. 2284-2294, Mar. 2023.  DOI: 10.1109/TII.2022.3223438  Available: https://dblp.org/rec/journals/tii/LesiJP23.html"
4,"L. Gao, D. Li, Z. Chen, S. X. Ding, and Z. Hou, ""SIR-Aided Dynamic Canonical Correlation Analysis for Fault Detection and Isolation of Industrial Automation Systems,"" IEEE Transactions on Industrial Electronics, vol. 71, no. 6, pp. 6966–6977, Jun. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10354461/"
5,"J. Zhao, X. Yang, L. Liu, Y. Shi, J. Zhang, W. Xu, and G. Xu, ""A Learning-Based Two-Stage Method for Submillimeter Insertion Tasks With Only Visual Inputs,"" IEEE Transactions on Industrial Electronics, vol. 70, no. 10, pp. 10941–10951, Oct. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10210116/"
6,"A. B. S and R. K. M S, ""Highly Robust and Automated Vision based Filamentous Steel Strip Crack Detection System,"" International Journal of Automation and Smart Technology, vol. 10, no. 1, pp. 109–123, Jun. 2020. [Online]. Available: https://www.jausmt.org/index.php/jausmt/issue/view/5"
7,"L. Kanagasabai, ""Real Power Loss Reduction by Extreme Learning Machine based - Xiphias and Gilt-head bream Optimization Algorithms,"" International Journal of Automation and Smart Technology, vol. 13, pp. 2354–2354, May 2023. [Online]. Available: https://www.jausmt.org/index.php/jausmt/issue/view/2"
8,"G. Hildebrandt, D. Dittler, P. Habiger, H. Roth, T. Sauter, ""Data Integration for Digital Twins in Industrial Automation: A Systematic Literature Review,"" TechRxiv, 2023. [Online]. Available: https://www.techrxiv.org/users/782028/articles/936580-data-integration-for-digital-twins-in-industrial-automation-a-systematic-literature-review"
9,"A. Ghosh, S. Vighe, ""A Theoretical Framework for Architectural Anti-Patterns in Industrial Cloud-Edge Systems: Foundations, State-of-the-Art and Research Directions,"" TechRxiv, 2022. [Online]. Available: https://www.techrxiv.org/doi/full/10.36227/techrxiv.174439107.75971333/v1"
10,"D. Guo, X. Chen, Z. Jiang, J. Gong, ""A review of industrial robot predictive maintenance research in the automotive industry,"" TechRxiv, 2023. [Online]. Available: https://www.techrxiv.org/doi/full/10.22541/au.169770250.00791915/v1"
