Index,Citation
1,"[Kuo-Kai Lee, Wing-Kai Hon, Chung-Shou Liao, Kunihiko Sadakane, and Meng-Tsung Tsai,  ""Fully Dynamic No-Back-Edge-Traversal Forest via 2D-Range Queries,""  International Journal of Computational Geometry & Applications,  vol. 33, no. 1&2, pp. 43–54, 2023.  Available: https://dblp.org/rec/journals/ijcga/LeeHLST23]"
2,"[Gregory Bint, Anil Maheshwari, Michiel H. M. Smid, and Subhas C. Nandy,  ""Partial Enclosure Range Searching,""  International Journal of Computational Geometry & Applications,  vol. 29, no. 1, pp. 73–93, 2019.  Available: https://dblp.org/rec/journals/ijcga/BintMSN19]"
3,"[Haitao Wang and Wuzhou Zhang,  ""On Top-k Weighted Sum Aggregate Nearest and Farthest Neighbors in the L1 Plane,""  International Journal of Computational Geometry & Applications,  vol. 29, no. 3, pp. 189–218, 2019.  Available: https://dblp.org/rec/journals/ijcga/0001Z19]"
4,"[R. H. Güting, S. K. Das, F. Valdés, and S. Ray, ""Exact Trajectory Similarity Search With N-tree: An Efficient Metric Index for kNN and Range Queries,"" ACM Transactions on Spatial Algorithms and Systems, vol. 11, no. 1, pp. 5:1–5:54, 2025. [Online]. Available: https://dblp.org/rec/journals/tsas/GutingDVR25]"
5,"[H. Wang and Q. Zeng, ""Unit-disk range searching and applications,"" Journal of Computational Geometry, vol. 12, no. 1, pp. 381-417, 2021. [Online]. Available: https://jocg.org/index.php/jocg/article/view/4015]"
6,"[S. Rahul, ""Approximate range counting revisited,"" Journal of Computational Geometry, vol. 12, no. 1, pp. 183-212, 2021. [Online]. Available: https://jocg.org/index.php/jocg/article/view/3153]"
7,"[J. Xue and H. Wang, ""Searching for the closest-pair in a query translate,"" Journal of Computational Geometry, vol. 11, no. 1, pp. 104–139, 2020. [Online]. Available: https://jocg.org/index.php/jocg/article/view/3118]"
8,"[H. Yepdjio Nkouanga and S. Vajda, ""Optimization Strategies for the k-Nearest Neighbor Classifier,"" SN Computer Science, vol. 4, no. 47, 2023. [Online]. Available: https://doi.org/10.1007/s42979-022-01469-3]"
9,"[N. G. Siddappa and T. Kampalappa, ""Imbalance Data Classification Using Local Mahalanobis Distance Learning Based on Nearest Neighbor,"" SN Computer Science, vol. 1, no. 76, 2020. [Online]. Available: https://doi.org/10.1007/s42979-020-0085-x]"
10,"[D. Obraczka and E. Rahm, ""Fast Hubness-Reduced Nearest Neighbor Search for Entity Alignment in Knowledge Graphs,"" SN Computer Science, vol. 3, issue 6, Oct. 2022. [Direct access unavailable—see journal issue: https://link.springer.com/journal/42979/volumes-and-issues/3-6]]"
11,"[Magdalen Dobson Manohar, Taekseung Kim, and Guy E. Blelloch, ""Range Retrieval with Graph-Based Indices,"" arXiv preprint arXiv:2502.13245, 2025. [Online]. Available: https://arxiv.org/abs/2502.13245]"
12,"[Anqi Liang, Pengcheng Zhang, Bin Yao, Zhongpu Chen, Yitong Song, and Guangxu Cheng, ""UNIFY: Unified Index for Range Filtered Approximate Nearest Neighbors Search,"" arXiv preprint arXiv:2412.02448, 2024. [Online]. Available: https://arxiv.org/abs/2412.02448]"
13,"[Dimitris Fotakis, Andreas Kalavas, and Ioannis Psarros, ""A Query-Driven Approach to Space-Efficient Range Searching,"" arXiv preprint arXiv:2502.13653, 2025. [Online]. Available: https://arxiv.org/abs/2502.13653]"
14,"[G. O. Campos, A. Zimek, J. Sander, R. J. G. B. Campello, B. Micenková, E. Schubert, I. Assent, and M. E. Houle, ""On the evaluation of unsupervised outlier detection: measures, datasets, and an empirical study,"" Data Mining and Knowledge Discovery, vol. 30, no. 4, pp. 891–927, 2016. [Online]. Available: https://doi.org/10.1007/s10618-015-0444-8]"
15,"[Yaru Chen, Jie Zhou, Xinglong Luo, ""An improved density peaks clustering based on sparrow search algorithm,"" Cluster Computing, vol. 27, no. 8, pp. 11017–11037, 2024. https://doi.org/10.1007/s10586-024-04384-9]"
16,"[Luyao Chang, Fan Li, Xinzheng Niu, Jiahui Zhu, ""On an improved clustering algorithm based on node density for WSN routing protocol,"" Cluster Computing, vol. 25, no. 4, pp. 3005–3017, 2022. https://doi.org/10.1007/s10586-022-03544-z]"
17,"[Zainab Iftikhar, Adeel Anjum, Abid Khan, Munam Ali Shah, Gwanggil Jeon, ""Privacy preservation in the internet of vehicles using local differential privacy and IOTA ledger,"" Cluster Computing, vol. 26, pp. 3361–3377, 2023. https://doi.org/10.1007/s10586-023-04002-0]"
18,"[A. Rachwał, A. Popławska, and M. Borys, ""Determining the Quality of a Dataset in Clustering Terms,"" Applied Sciences, vol. 13, no. 5, art. 2942, pp. 1–22, 2023. [Online]. Available: https://doi.org/10.3390/app13052942]"
19,"[Y. Liu, J. Ding, H. Wang, and Y. Du, ""A Clustering Algorithm Based on the Detection of Density Peaks and the Interaction Degree Between Clusters,"" Applied Sciences, vol. 15, no. 7, art. 3612, pp. 1–19, 2025. [Online]. Available: https://doi.org/10.3390/app15073612]"
20,"[S. Song and X. Liang, ""Federated Pseudo-Sample Clustering Algorithm: A Label-Personalized Federated Learning Scheme Based on Image Clustering,"" Applied Sciences, vol. 14, no. 6, art. 2345, pp. 1–18, 2024. [Online]. Available: https://doi.org/10.3390/app14062345]"
21,"[H. Yin, A. Aryani, S. Petrie, A. Nambissan, A. Astudillo, and S. Cao, ""A Rapid Review of Clustering Algorithms,"" arXiv preprint arXiv:2401.07389, 2024. [Online]. Available: https://arxiv.org/abs/2401.07389]"
22,"[S. Zhou, H. Xu, Z. Zheng, J. Chen, Z. Li, J. Bu, J. Wu, X. Wang, W. Zhu, and M. Ester, ""A Comprehensive Survey on Deep Clustering: Taxonomy, Challenges, and Future Directions,"" arXiv preprint arXiv:2206.07579, 2022. [Online]. Available: https://arxiv.org/abs/2206.07579]"
23,"[V. Cohen-Addad, B. Guedj, V. Kanade, and G. Rom, ""Online k-means Clustering,"" in Proc. 24th International Conference on Artificial Intelligence and Statistics (AISTATS), Proceedings of Machine Learning Research, vol. 130, pp. 1126-1134, 2021. [Online]. Available: https://arxiv.org/abs/1909.06861]"
24,"[Naveen Donthu, Satish Kumar, Nitesh Pandey, Prashant Gupta, ""Forty years of the International Journal of Information Management: A bibliometric analysis"", International Journal of Information Management, vol. 57, Article 102307, 2021. https://doi.org/10.1016/j.ijinfomgt.2020.102307]"
25,"[Imran Ali, Maria Balta, Thanos Papadopoulos, ""Social media platforms and social enterprise: Bibliometric analysis and systematic review"", International Journal of Information Management, vol. 69, Article 102510, April 2023. https://doi.org/10.1016/j.ijinfomgt.2022.102510]"
26,"[N. Tonellotto, C. Macdonald, and I. Ounis, ""Efficient Query Processing for Scalable Web Search,"" Foundations and Trends® in Information Retrieval, vol. 12, no. 4–5, pp. 319–500, 2018. [Online]. Available: https://www.nowpublishers.com/article/Details/INR-057]"
27,"[R. Zanibbi, B. Mansouri, and A. Agarwal, ""Mathematical Information Retrieval: Search and Question Answering,"" Foundations and Trends® in Information Retrieval, vol. 19, no. 1–2, pp. 1–190, 2025. [Online]. Available: https://www.nowpublishers.com/article/Details/INR-095]"
