Index,Citation,Summary
1,"[Kuo-Kai Lee, Wing-Kai Hon, Chung-Shou Liao, Kunihiko Sadakane, and Meng-Tsung Tsai,  ""Fully Dynamic No-Back-Edge-Traversal Forest via 2D-Range Queries,""  International Journal of Computational Geometry & Applications,  vol. 33, no. 1&2, pp. 43–54, 2023.  Available: https://dblp.org/rec/journals/ijcga/LeeHLST23]","Orthogonal range search, widely used in applications such as databases, data mining, and text indexing, has recently found use in maintaining a DFS forest in dynamic graphs. This paper extends that line of work by applying orthogonal range search to efficiently maintain a BFS-like no-back-edge-traversal (NBET) forest. An NBET forest, which arises from a traversal avoiding the creation of back edges, serves as a robust certificate for the 2-connectivity of undirected graphsa property that is more general than what is established by scan-first search spanning forests."
2,"[Gregory Bint, Anil Maheshwari, Michiel H. M. Smid, and Subhas C. Nandy,  ""Partial Enclosure Range Searching,""  International Journal of Computational Geometry & Applications,  vol. 29, no. 1, pp. 73–93, 2019.  Available: https://dblp.org/rec/journals/ijcga/BintMSN19]","This paper introduces the partial enclosure range searching problem, a generalization of classical range searching where, given a set of geometric objects (points, line segments, rectangles) in the plane and a query axis-aligned rectangle $Q$ with an integer parameter $k$ or fraction $\alpha$, the goal is to preprocess the set so that all objects partially enclosed by $Q$having at least $k$ points or $\alpha$-fraction of length/area inside $Q$can be efficiently reported. Motivated by applications in graphics and spatial databases, the authors define several variants of this problem and develop efficient data structures based on range, segment, and interval trees, adapting and extending these structures for partial, measure-theoretic enclosure. For points, existing range structures suffice, while segments and rectangles require more advanced combination of endpoint queries, segment intersection detection, and measure-based decomposition. Their results, which achieve fast polylogarithmic query times per object after near-linear preprocessing and space, generalize existing range searching techniques and demonstrate the tractability of partial enclosure queries. Key challenges addressed include handling the complexity of partial rather than total containment and unifying different range searching paradigms. The study lays groundwork for further research into broader classes of objects, higher-dimensional queries, dynamic updates, and approximate or probabilistic methods in geometric data analysis."
3,"[Haitao Wang and Wuzhou Zhang,  ""On Top-k Weighted Sum Aggregate Nearest and Farthest Neighbors in the L1 Plane,""  International Journal of Computational Geometry & Applications,  vol. 29, no. 3, pp. 189–218, 2019.  Available: https://dblp.org/rec/journals/ijcga/0001Z19]","In this paper, the authors investigate top-$k$ aggregate nearest neighbor queries using the weighted SUM operator under the $L_1$ (Manhattan) metric in the plane. Given a dataset $P$ of $n$ points and a query set $Q$ of $m$ weighted points, the goal is to find the $k$ points in $P$ with the smallest aggregate (weighted) $L_1$ distance to $Q$, where the aggregate distance for $p \in P$ is the sum of weighted distances from $p$ to all $q \in Q$. The authors design a data structure of size $O(n\log n \log\log n)$ that can be built in $O(n\log n \log\log n)$ time, supporting each top-$k$ query in $O(m\log m + (k+m)\log^2 n)$ time. Trade-offs between preprocessing and querying are also presented. Notably, even for $k=1$, their method improves upon previous results by reducing preprocessing space and query time (previously $O(n\log^2 n)$ space and $O(m^2\log^3 n)$ query, now improved). They also address the one-dimensional case with an $O(n)$-size structure supporting $O(\min\{k,\log m\}\cdot m + k + \log n)$-time queries, and extend their approach to top-$k$ aggregate farthest neighbor queries under similar performance bounds."
4,"[R. H. Güting, S. K. Das, F. Valdés, and S. Ray, ""Exact Trajectory Similarity Search With N-tree: An Efficient Metric Index for kNN and Range Queries,"" ACM Transactions on Spatial Algorithms and Systems, vol. 11, no. 1, pp. 5:1–5:54, 2025. [Online]. Available: https://dblp.org/rec/journals/tsas/GutingDVR25]","Similarity search involves identifying objects from a collection that are similar to a given query and is fundamental in applications spanning from text documents to moving object trajectories. Motivated by trajectory analysisrecorded paths of entities like vehicles or humansthis paper introduces a novel metric distance function, DistanceAvg, designed to capture movement similarity and to permit indexing for efficient search. Leveraging the metric space framework (where objects are organized solely by a distance function), the authors note that while traditional metric indexes exist, they are suboptimal for trajectory data. The proposed index improves performance over existing methods for $k$-nearest neighbor ($k$NN) queries and matches the best for range queries, especially for computationally expensive distance measures typical in trajectory analysis. The index also provides exact answers for the specified distance, making $k$NN queries practical when choosing an appropriate search radius is difficult."
5,"[H. Wang and Q. Zeng, ""Unit-disk range searching and applications,"" Journal of Computational Geometry, vol. 12, no. 1, pp. 381-417, 2021. [Online]. Available: https://jocg.org/index.php/jocg/article/view/4015]","This paper focuses on efficient algorithms and data structures for unit-disk range counting, where the goal is to preprocess a set $P$ of $n$ points in the plane so that, given any unit disk, one can quickly count how many points of $P$ it contains. By adapting simplex range searching techniques to exploit the uniformity of unit-disk queries, the authors construct data structures with $O(n)$ space and $O(\sqrt{n})$ query time, improving upon prior results. Core methods include partitioning the plane into grid cells of length $\Theta(1)$, associating points to cells, and constructing pseudo-trapezoidal partitions and hierarchical cuttings for disk arrangements. These foundations yield improvements for several geometric problems: batched range counting for $n$ unit disks and $n$ points is solved in $O(n^{4/3})$ time (improving the previous $O(n^{4/3}\log n)$ bound), intersecting pairs of circles are counted in $O(n^{4/3})$ time, the $k$-th smallest distance among $P$ is found in $O(n\log n + n^{2/3}k^{1/3}\log n)$ expected time, and the discrete $2$-center problem admits subquadratic deterministic and randomized solutions. Besides algorithmic advances, the work introduces new structural insights for unit disk arrangements and suggests open questions in dynamic settings and higher dimensions, laying a foundation for further advances in uniform-range geometric searching."
6,"[S. Rahul, ""Approximate range counting revisited,"" Journal of Computational Geometry, vol. 12, no. 1, pp. 183-212, 2021. [Online]. Available: https://jocg.org/index.php/jocg/article/view/3153]","This paper investigates range-searching for colored objects, focusing on approximately counting the number of distinct colors within a query range, primarily involving orthogonal range queries in two and three dimensions and rectangle stabbing by points. The authors provide optimal and near-optimal algorithms for these tasks, mainly achieved through reductions to the uncolored version of the problems and the development of improved data structures. A notable contribution is the introduction of the ""nested shallow cuttings"" technique."
7,"[J. Xue and H. Wang, ""Searching for the closest-pair in a query translate,"" Journal of Computational Geometry, vol. 11, no. 1, pp. 104–139, 2020. [Online]. Available: https://jocg.org/index.php/jocg/article/view/3118]","We consider a range-search variant of the closest-pair problem, where for a fixed shape $\varGamma$ in the plane, the goal is to preprocess $n$ points so that for any translate of $\varGamma$, the closest pair of contained points can be efficiently reported. For the case where $\varGamma$ is a polygon (possibly with holes), we present a data structure using $O(n)$ space and $O(\log n)$ query time, achieving asymptotically optimal bounds. When $\varGamma$ is a general convex body with a smooth boundary, we provide a near-optimal data structure requiring $O(n \log n)$ space and $O(\log^2 n)$ query time. These contributions resolve certain open questions from Xue et al. [SoCG 2018]."
8,"[H. Yepdjio Nkouanga and S. Vajda, ""Optimization Strategies for the k-Nearest Neighbor Classifier,"" SN Computer Science, vol. 4, no. 47, 2023. [Online]. Available: https://doi.org/10.1007/s42979-022-01469-3]","This paper introduces six fast and efficient schemes to accelerate k-nearest neighbor (kNN) classification for various image types by either reducing the training set or compressing data dimensionality. Prototype reduction is achieved through convex hull selectionwhere only the boundary points of each class are retained as representativesand stratified sampling, both supported by dimensionality reduction techniques such as Principal Component Analysis (PCA) and Feature Agglomeration (FA) to handle high-dimensional data. Additionally, data is re-represented via auto-encoder neural networks, which learn compact encodings, or by embedding samples into a dissimilarity space using centroids from k-means clustering as prototypes. Experiments on MNIST, Fashion-MNIST, and Lampung character datasets demonstrate that these methods deliver classification speed-ups up to $32\times$, often without sacrificing, and sometimes even improving, accuracyfor example, combining encoder and embedding yielded a +0.72% accuracy gain and $23.7\times$ speedup on MNIST. While convex hull and stratified sampling achieved the greatest acceleration, they could reduce accuracy on complex or overlapping data. In contrast, auto-encoder-based and embedding approaches afforded robust, highly compact representations, providing the optimal balance of speed and performance. The results emphasize that a combination of prototype reduction and learned feature compression can dramatically accelerate kNN classification with minimal loss in predictive power."
9,"[N. G. Siddappa and T. Kampalappa, ""Imbalance Data Classification Using Local Mahalanobis Distance Learning Based on Nearest Neighbor,"" SN Computer Science, vol. 1, no. 76, 2020. [Online]. Available: https://doi.org/10.1007/s42979-020-0085-x]","This paper addresses the challenge of class imbalance in datasets, where standard machine learning algorithms often perform poorly due to the disproportionate representation of classes. The authors propose a method utilizing Local Mahalanobis Distance Learning (LMDL) with the nearest neighbor (NN) classifier, which preserves the original data distribution and minimizes information loss compared to traditional techniques like sampling or cost-sensitive learning. The LMDL approach adaptively learns Mahalanobis distance metrics for localized prototypes, enhancing discrimination between classes by optimizing an objective function derived from the NN error rate. Experimental analysis across varied UCI datasetsincluding Iris, breast cancer, and E-colidemonstrates superior classification results, with LMDL achieving up to 98% accuracy, high precision, recall, F-measure, and robust G-mean and AUC metrics (e.g., for Iris: $97\%$ accuracy, $98\%$ precision, $97\%$ recall and F-measure, $97.36\%$ G-mean, $90.62\%$ AUC). Comparative discussion shows LMDL outperforming methods such as Random Forest, SMOTE-based ensembles, and fuzzy adaptive K-NN, though it is less effective for highly nonlinear data and small sample sizes. The study concludes that LMDL effectively mitigates class imbalance issues while preserving critical data properties, and suggests extending the framework to feature-based and multiclass nonlinear classification in future work."
10,"[D. Obraczka and E. Rahm, ""Fast Hubness-Reduced Nearest Neighbor Search for Entity Alignment in Knowledge Graphs,"" SN Computer Science, vol. 3, issue 6, Oct. 2022. [Direct access unavailable—see journal issue: https://link.springer.com/journal/42979/volumes-and-issues/3-6]]","The paper addresses the challenge of representing heterogeneous entities and relations in knowledge graphs (KGs) for data integration, focusing on Knowledge Graph Embeddings (KGEs) which map these entities into a common low-dimensional space. However, KGEs are shown to suffer from the hubness phenomenon, where certain entities ('hubs') dominate nearest neighbor searchesan integral step in entity alignmentthus degrading alignment quality. The authors systematically investigate hubness reduction techniques and (approximate) nearest neighbor libraries, demonstrating that hubness-reduced nearest neighbor search can be conducted with little to no speed loss and significantly better alignment results. Statistical significance is validated via Bayesian analysis. For practical application and further research, an open-source Python library is provided at https://github.com/dobraczka/kiez."
