Index,Citation,Summary
1,"H. H. Rashidi, S. Albahra, B. P. Rubin, and B. Hu, ""A novel and fully automated platform for synthetic tabular data generation and validation,"" Scientific Reports, vol. 14, Article number: 23312, 2024. [Online]. Available: https://www.nature.com/articles/s41598-024-73608-0","Healthcare machine learning (ML) is hampered by strict data privacy regulations, but synthetic data offers a route to circumvent these barriers by mimicking real datasets without risking patient privacy. The Synthetic Tabular Neural Generator (STNG) is a fully automated platform that integrates eight parallel synthetic data generation methodsincluding both classic and neural network-based models such as Gaussian copula, copula-GAN, CT-GAN, and TVAE, plus STNGs own multi-function variants. For each dataset, STNG generates synthetic data, then uses an embedded Auto-ML module featuring five classification algorithms (logistic regression, naive Bayes, KNN, SVM, and MLP) applied in 80 pipelines per generator (yielding up to 595,840 ML models per run) to validate and compare synthetic datasets. The quality of synthetic data is measured by a novel STNG ML score, which combines ROC-AUCbased metrics ($\text{Initial Auto-ML Score} = 1 - \min(|\text{AUC}_{sr} - \text{AUC}_{rr}| + |\text{AUC}_{ss} - \text{AUC}_{sr}|, 1)$) and statistical similarity (KL divergence, KS statistic). In empirical studies with 12 real healthcare datasets (covering both binary and multiclass tasks), STNGs multi-function approaches generally produced synthetic datasets with better ML and statistical fidelity to real data than generic generators. For example, in heart disease and stroke datasets, the STNG Gaussian copula generator achieved the highest ML scores and statistical similarity, while modified STNG approaches consistently succeeded where some baseline methods failed (e.g., class imbalance issues in TVAE). STNG is delivered as a secure, dockerized application with enterprise-level access controls and an intuitive UI. Although current limitations include focus on classification and tabular data, future work will extend to regression, time series, and other data modalities. By reducing regulatory obstacles and enabling large-scale synthetic data generation and validation, STNG can accelerate healthcare ML innovation while raising important ethical considerations regarding fairness and data protection."
2,"L. Kühnel, J. Schneider, I. Perrar, T. Adams, S. Moazemi, F. Prasser, U. Nöthlings, H. Fröhlich, and J. Fluck, ""Synthetic data generation for a longitudinal cohort study – evaluation, method extension and reproduction of published data analysis results,"" Scientific Reports, vol. 14, Article number: 14412, 2024. [Online]. Available: https://www.nature.com/articles/s41598-024-62102-2","Access to individual-level health data is vital for scientific advancement, especially for AI-based research, but is often restricted by privacy regulations. This study addresses these limitations by generating fully synthetic datadata produced via random processes that mimic the statistical properties of real datasets without direct correspondence to real individualsusing a state-of-the-art method tailored to nutrition research (DONALD study). Extensive quality assessments were performed, surpassing mere descriptive statistics to include correlation structures, direct dependencies, and the ability to reproduce significant results from real-world analyses. Notably, the team developed VAMBN-MT, an LSTM-based extension of VAMBN, to overcome shortcomings in capturing longitudinal and direct dependency structures; VAMBN-MT generally outperformed the original and enabled accurate reproduction of real-world outcomes. The findings emphasize the importance of use case-specific evaluations and expert input, demonstrating that large sample sizes and joint modeling of key variables enhance synthetic data utility and quality. Future work aims to expand the approach to other longitudinal datasets and rigorously analyze privacy risks to balance utility and confidentiality. While the real data are not publicly accessible due to GDPR constraints, the adapted algorithms code is available at https://github.com/nfdi4health/vambn-extensions-evaluations/."
3,"Z. Qian, T. Callender, B. Cebere, S. M. Janes, N. Navani, and M. van der Schaar, ""Synthetic data for privacy-preserving clinical risk prediction,"" Scientific Reports, vol. 14, Article number: 25676, 2024. [Online]. Available: https://www.nature.com/articles/s41598-024-72894-y","This study explores the application of synthetic datagenerated using advanced privacy-preserving generative adversarial networks (DPGAN, PATEGAN, ADSGAN)to support clinical prognostic modeling pipelines without exposing real patient information. Focusing on ever-smokers from the UK Biobank, the authors created synthetic cohorts and evaluated their usefulness for descriptive statistics, exploratory data analysis (e.g., principal component analysis), feature selection, hyperparameter tuning, and model training to predict 5-year lung cancer risk. Synthetic datasets produced by ADSGAN and PATEGAN closely mimicked the real data's distribution, successfully captured rare subpopulations, and allowed selection of important predictors akin to those from real data, albeit with a modest drop in model discrimination due to privacy-utility trade-offsparticularly for DPGAN, which added excessive noise. Brier scores for models trained on ADSGAN were equivalent to those for real data, supporting the value of synthetic data for model development even under strict ""no-release"" paradigms. Privacy risks, including reidentification and membership inference, were discussed via metrics such as k-anonymity and DOMIAS. The findings highlight the potential of synthetic data to accelerate healthcare research and collaboration while emphasizing the need for preprocessing and further methodological advances to maximize utility and privacy across healthcare domains."
4,"D. Perri, M. Simonetti, and O. Gervasi, ""Synthetic Data Generation to Speed-Up the Object Recognition Pipeline,"" Electronics, vol. 11, no. 1, p. 2, 2022. [Online]. Available: https://www.mdpi.com/2079-9292/11/1/2","This paper introduces a methodology for generating synthetic images, leveraging advanced 3D modeling software, to train neural networks for shape and object recognitionparticularly beneficial in contexts where acquiring real images is challenging, costly, or hazardous. By applying this approach to two use casespictorial style recognition and the detection of people at seathe authors demonstrate its validity, provided rigorous practices and the full capabilities of tools like Blender and Unity3D are utilized. They share GPL-licensed code that automates image transformations and randomizes environmental conditions for comprehensive data augmentation. The results affirm that their method offers a simple, reliable, cost-effective, and safe solution for supplying neural network training data across diverse application domains."
5,"M. Goyal and Q. H. Mahmoud, ""A Systematic Review of Synthetic Data Generation Techniques Using Generative AI,"" Electronics, vol. 13, no. 17, p. 3509, 2024. [Online]. Available: https://www.mdpi.com/2079-9292/13/17/3509","Synthetic data offer promising approaches to overcoming data scarcity, privacy issues, and algorithmic bias in machine learning, as they retain the statistical patterns and behaviors of original datasets while modifying their actual contents. Methods for synthetic data generation include large language models (LLMs), generative adversarial networks (GANs), and variational autoencoders (VAEs), each contributing distinct strengths and facing particular challenges. This systematic review identifies limitations such as high computational demands, instability during training, and insufficient privacy guarantees, all of which currently constrain the practical deployment of synthetic data generation techniques. Addressing these barriers is imperative for wider adoption, which would enhance machine learning and the development of data-driven technologies across multiple domains."
6,"E. Papadaki, A. G. Vrahatis, and S. Kotsiantis, ""Exploring Innovative Approaches to Synthetic Tabular Data Generation,"" Electronics, vol. 13, no. 10, p. 1965, 2024. [Online]. Available: https://www.mdpi.com/2079-9292/13/10/1965","The paper provides a comprehensive review of contemporary data generation methodologies, especially emphasizing statistical and machine learning-based techniques. It highlights novel approaches such as the divide-and-conquer (DC) strategy and advanced models like GANBLR, which address challenges including the preservation of complex data relationships and improving interpretability. Generative adversarial networks (GANs) are also discussed as transformative for synthetic data creation in fields like healthcare, cybersecurity, and retail. The review examines how these methods effectively tackle class imbalance, data scarcity, and privacy concerns, and analyzes evaluation metrics and applications that demonstrate their impact on refining predictive models and decision-making systems. The authors conclude with perspectives on future research and underscore the pivotal role of synthetic data in advancing machine learning and data-driven solutions across various sectors."
7,"D. B. Resnik, M. Hosseini, J. J. H. Kim, G. Epiphaniou, and C. Maple, “GenAI synthetic data create ethical challenges for scientists. Here’s how to address them,” Proceedings of the National Academy of Sciences, vol. 122, no. 9, pp. e2409182122, Mar. 2025. [Online]. Available: https://doi.org/10.1073/pnas.2409182122","Synthetic data generated by generative artificial intelligence (GenAI) models, such as generative adversarial networks or variational auto-encoders, are increasingly used in scientific research for purposes such as filling gaps from missing data, protecting sensitive information, and accelerating experimental processes. However, these advancements present significant ethical challenges, including risks to data integritysince GenAI can generate highly realistic fabricated data indistinguishable from real dataand issues related to privacy, bias amplification, and the potential for research misconduct. The conflation of synthetic and real data threatens the reliability, reproducibility, and ethical standards of science, and may complicate regulatory and policy decisions, as synthetic data can corrupt research records or jeopardize public trust if not properly managed. To address these challenges, the authors propose clear definitions distinguishing synthetic from real data based on provenance, robust disclosure guidelines requiring explanation and identification of synthetic data usage in research, educational initiatives on responsible data use, and technical measures like watermarking, blockchain certifications, and AI-based detection tools. Despite these concerns, the paper concludes that if the scientific community implements appropriate strategies, GenAI-generated synthetic data can yield significant benefits for science and society by enhancing research capabilities while minimizing risks."
8,"D. Adam, “Synthetic data can aid the analysis of clinical outcomes: How much can it be trusted?,” Proceedings of the National Academy of Sciences, vol. 121, no. 32, pp. e2414310121, Aug. 2024. [Online]. Available: https://doi.org/10.1073/pnas.2414310121","This article explores the evolution and promise of synthetic data in clinical research, initiated as a privacy-preserving measure, but now leveraged as a powerful tool for expanding research potential. Synthetic datasets are generated by identifying and mapping key characteristics of real patient data and statistically or algorithmically (e.g., via generative adversarial networks, GANs) creating new artificial data with matching properties, such as age distributions or complex physiological correlations. Such datasets have enabled advances like genotype-disease linkage studies, suicide risk factor analysis, and safety modeling with minimal risk of re-identifying individuals. For example, with a cohort of 2,000 myelodysplastic syndrome patients, a GAN produced synthetic records that captured essential clinical and genetic features without duplicating real individual profiles. While synthetic data can bolster sample sizes, mitigate historical data biases, and fill gaps where real-world data are sparse, challenges remain: the fidelity of artificial data is limited by the quality of its source, and validation against original datasets is still required for clinical acceptance. As machine learning advances, regulatory interest grows in using synthetic patients as control arms in trials, potentially halving the required participants and reducing ethical concerns regarding placebo treatments. Although not yet widely adopted for primary research conclusions, synthetic data now move beyond mere privacy safeguards and stand as a transformative resource awaiting broader realization in biomedical research."
9,"S. Ruggles, “The shortcomings of synthetic census microdata,” Proceedings of the National Academy of Sciences, vol. 122, no. 11, pp. e2424655122, Mar. 2025. [Online]. Available: https://doi.org/10.1073/pnas.2424655122","The U.S. Census Bureau plans to replace the American Community Survey (ACS) public use microdata with fully synthetic data to address confidentiality concerns arising from modern computing power and private sector data proliferation. However, the transition to synthetic microdata jeopardizes the utility of these datasets, which are pivotal for social science research and policy development nationwide. The paper argues that synthetic data are inadequate for most research purposes, and current evidence does not indicate a credible disclosure risk; the only existing study found no substantial threat of reidentification. The author calls for new empirical research to rigorously assess true vulnerabilities in ACS microdata. If such risks are confirmed, targeted risk reduction should be prioritized with minimal impact on data usability, rather than broadly implementing synthetic data, since unwarranted measures could undermine essential scientific and policy tools."
10,"Y. Liu, R. Shen, and X. Shen, ""Novel Uncertainty Quantification Through Perturbation-Assisted Sample Synthesis,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 46, no. 12, pp. 7813–7824, Dec. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10508110","This paper presents the Perturbation-Assisted Inference (PAI) framework, leveraging the Perturbation-Assisted Sample Synthesis (PASS) method to address uncertainty quantification for complex data, particularly unstructured data handled by deep learning models. PASS utilizes generative models (including diffusion models and normalizing flows) combined with data perturbation to generate synthetic data that closely resembles the original distribution while preserving rank properties, thereby increasing data diversity and privacy. Knowledge is further transferred from large pre-trained generative models, refining statistical estimates through Monte Carlo experiments. PAI provides statistical validity for both pivotal and non-pivotal inference settingsusing either theoretical guarantees or holdout samples for reliable synthetic data generation. The efficacy and reliability of PAI are demonstrated across domains such as image synthesis (e.g., CIFAR-10 with significant FID improvements over DCGAN and GLOW), sentiment word analysis (IMDB, with statistical tests on masked and extracted words), and multimodal text-to-image generation (measuring cosine similarity and FID-pvalues), as well as constructing prediction intervals compared to conformal methods. Theoretical sections discuss the sampling properties and latent variable rank preservation under perturbation, supported by technical proofs. While the framework increases computational demand through extensive Monte Carlo sampling, its validity and adaptability offer robust solutions for uncertainty quantification in black-box deep learning systems, supporting reproducible and credible data-driven inference even with scarce data. PASS further provides integration and privacy via multivariate rank-matching, and future enhancements will focus on computational efficiency, wider applicability, and improved privacy-personalization trade-offs."
