Index,Citation,Summary
1,"Wenbin Dai, Yingyue Zhang, Lingbo Kong, James H. Christensen, Dan Huang,  ""Design of Industrial Edge Applications Based on IEC 61499 Microservices and Containers,""  IEEE Transactions on Industrial Informatics, vol. 19, no. 7, pp. 7925-7935, July 2023.  DOI: 10.1109/TII.2022.3214759  Available: https://dblp.org/rec/journals/tii/DaiZKCH23.html","Industrial automation is undergoing a transformation as the Industrial Internet brings advanced computing, communication, and storage through cloud computing and field devices, moving the traditional ISA-95 pyramid model to a two-layer architecture composed of industrial cloud and edge computing. This shift necessitates a new approach to industrial software, moving away from dedicated applications towards service-based solutions that maximize flexibility, interoperability, and efficiency by integrating the IEC 61499 standard, microservice architecture, and containerization. The paper presents orchestration methods and deployment procedures for OT-IT hybrid industrial edge applications, substantiating the feasibility of the approach with an industrial case study and an accompanying performance analysis."
2,"Eric Ke Wang, Zicong Chen, Mingjia Zhu, Siu-Ming Yiu, Chien-Ming Chen, Mohammad Mehedi Hassan, Stefano Izzo, Giancarlo Fortino,  ""Statistics-Physics-Based Interpretation of the Classification Reliability of Convolutional Neural Networks in Industrial Automation Domain,""  IEEE Transactions on Industrial Informatics, vol. 19, no. 8, pp. 2165-2172, Aug. 2023.  DOI: 10.1109/TII.2022.3231458  Available: https://dblp.org/rec/journals/tii/WangCZYCHIF23.html","Artificial intelligence-driven automation has gradually become the technical trend of the new automation era. In this article, we model the learning and decision-making process of convolutional neural networks (CNNs) with a statistical physical percolation model. Based on the differentiation degree and vulnerability, the relationship between the classification reliability and the physical model is constructed. A theoretical explanation is provided for the difference in reliability among CNNs with different structures and learning abilities. The relationship between the differentiation degree and vulnerability is analyzed from both adversarial attack and adversarial training perspectives. Experimental results in the industrial automation domain verify the validity and universality of the model."
3,"Vuk Lesi, Zivana Jakovljevic, Miroslav Pajic,  ""IoT-Enabled Motion Control: Architectural Design Challenges and Solutions,""  IEEE Transactions on Industrial Informatics, vol. 19, no. 3, pp. 2284-2294, Mar. 2023.  DOI: 10.1109/TII.2022.3223438  Available: https://dblp.org/rec/journals/tii/LesiJP23.html","Amid growing demands for efficient, customizable manufacturing driven by Industry 4.0, this paper addresses the challenges of distributing traditional centralized numerical control kernels (NCK) in computerized manufacturing systems. The authors propose an architecture where each axis module is equipped with an IIoT-enabled low-level controller (LLC) that manages local control and communicates via a network interface, facilitating interoperability and reconfigurability. These smart resources coordinate with an edge-based high-level controller (HLC) that specifies trajectories and schedules tasks over the network. The paper examines real-time and network bandwidth requirements for various mappings of NCK layers to LLCs and HLC, presenting trade-offs in distributed motion control design, and demonstrates that their approachusing industry-grade robots and affordable IoT hardwareachieves minimal accuracy loss compared to centralized systems, as validated against ISO 230 and ISO 10791-7 standards."
4,"L. Gao, D. Li, Z. Chen, S. X. Ding, and Z. Hou, ""SIR-Aided Dynamic Canonical Correlation Analysis for Fault Detection and Isolation of Industrial Automation Systems,"" IEEE Transactions on Industrial Electronics, vol. 71, no. 6, pp. 6966–6977, Jun. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10354461/","In this work, fault detection and isolation (FDI) in closed-loop industrial automation systems is addressed by extending the Canonical Correlation Analysis (CCA) method to better account for closed-loop dynamics, aiming to improve detection performance in such environments; the approach relates to multivariate analysis, sensitivity analysis, and residual separation, and leverages data-driven techniques for enhanced fault detection and isolation, as indicated in the keywords."
5,"J. Zhao, X. Yang, L. Liu, Y. Shi, J. Zhang, W. Xu, and G. Xu, ""A Learning-Based Two-Stage Method for Submillimeter Insertion Tasks With Only Visual Inputs,"" IEEE Transactions on Industrial Electronics, vol. 70, no. 10, pp. 10941–10951, Oct. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10210116/","The paper proposes a two-stage method (OEC-IRRL) for achieving submillimeter-precision robotic insertion tasks using only visual inputs, targeting challenges in flexible, semi-structured industrial settings where component position and orientation vary. The system combines an eye-to-hand vision system for initial object localization and trajectory planning with a hybrid Imitation Learning (IL) and Residual Reinforcement Learning (RL) approach for fine adjustment. A single demonstration is used to extract key via-points with velocity-based motion mode switch detection, and a base policy is trained using Piece-wise Via-point Movement Primitives (VMP). Online, a Soft Actor-Critic RL algorithm further refines the policy in contact-rich regions, with selective activation near bottleneck poses, leveraging local compliance controllers that integrate vision and force feedback. Experiments on gear assembly demonstrate a 100% success rate, 14.92s average completion time, and 46% improvement in success rate over model-based and visual servoing baselines, highlighting robust adaptation and efficiency with minimal demonstration data. The method efficiently constrains RL exploration, boosting sample efficiency, but does not yet address generalization to radically different tasks or real-time anomaly handling. Future work includes expanding the method for fault recovery, unstructured environments, and integrating large language models for more versatile planning and reasoning."
6,"A. B. S and R. K. M S, ""Highly Robust and Automated Vision based Filamentous Steel Strip Crack Detection System,"" International Journal of Automation and Smart Technology, vol. 10, no. 1, pp. 109–123, Jun. 2020. [Online]. Available: https://www.jausmt.org/index.php/jausmt/issue/view/5","This paper addresses the challenge of detecting fine-grained filamentous cracks on steel strips, which are problematic in industrial quality control due to their subtle morphology and the limitations of both manual inspection and static threshold-based methods. The authors propose an automated vision-based detection system integrating Varying-Morphological Segmentation (also known as Neuron-Model Segmentation), local directive filtering, and active contour propagation. The system operates within an augmented variational framework, utilizing multi-directional filters for initial crack localization, followed by automated multi-directional region growing and iterative active contour evolution guided by level set energy minimization. This approach allows robust and accurate crack detection, even under complex topological changes and varying lighting conditions. Simulations with benchmark datasets demonstrate satisfactory performance of the proposed methodology for identifying surface cracks in steel strips."
7,"L. Kanagasabai, ""Real Power Loss Reduction by Extreme Learning Machine based - Xiphias and Gilt-head bream Optimization Algorithms,"" International Journal of Automation and Smart Technology, vol. 13, pp. 2354–2354, May 2023. [Online]. Available: https://www.jausmt.org/index.php/jausmt/issue/view/2","In this paper, Extreme Learning Machine-based Xiphias Optimization Algorithm (ELMXOA) and Gilt-head bream Optimization Algorithm (ELMGHO) are proposed to solve optimization problems. The Xiphias algorithm initiates candidate solutions and populations randomly within the exploration space, while the Gilt-head bream Optimization Algorithm mimics the collaborative hunting behavior of Gilt-head bream fish, differentiating between a primary cluster (key cluster/population) and a secondary cluster (sub-population). Both ELMXOA and ELMGHO are validated on IEEE 300 and 220 KV power systems, demonstrating their applicability to large-scale optimization challenges."
8,"G. Hildebrandt, D. Dittler, P. Habiger, H. Roth, T. Sauter, ""Data Integration for Digital Twins in Industrial Automation: A Systematic Literature Review,"" TechRxiv, 2023. [Online]. Available: https://www.techrxiv.org/users/782028/articles/936580-data-integration-for-digital-twins-in-industrial-automation-a-systematic-literature-review","This systematic literature review analyzes the integration and utilization of data in Digital Twins within industrial automation, based on 141 selected publications from an initial pool of 1107. The findings indicate that current Digital Twins primarily rely on structured data from their physical counterparts, often using proprietary methods, and are not adequately prepared for the anticipated influx of unstructured data in interconnected production environments. The study proposes necessary adaptations for future Digital Twins and identifies key research areas, including automated data integration and evaluation."
9,"A. Ghosh, S. Vighe, ""A Theoretical Framework for Architectural Anti-Patterns in Industrial Cloud-Edge Systems: Foundations, State-of-the-Art and Research Directions,"" TechRxiv, 2022. [Online]. Available: https://www.techrxiv.org/doi/full/10.36227/techrxiv.174439107.75971333/v1","This paper presents a theoretical framework for analyzing architectural anti-patterns in these systems, establishing formal definitions based on distributed systems theory. The framework provides rigorous foundations for understanding architectural decisions in industrial cloud-edge systems while explicitly considering anti-patterns and their implications."
10,"D. Guo, X. Chen, Z. Jiang, J. Gong, ""A review of industrial robot predictive maintenance research in the automotive industry,"" TechRxiv, 2023. [Online]. Available: https://www.techrxiv.org/doi/full/10.22541/au.169770250.00791915/v1","In this study, we assessed industrial robots, essentials in automotive manufacturing, as the research object, and provided a comprehensive overview of ..."
11,"Snehasis Sahoo and Cheng-Yao Lo,  “Smart manufacturing powered by recent technological advancements: A review,”  Journal of Manufacturing Systems, vol. 64, pp. 236–250, 2022.  doi: 10.1016/j.jmsy.2022.06.008  [URL](https://doi.org/10.1016/j.jmsy.2022.06.008)","In this article, the authors reviewed the progression of the four industrial revolutions, highlighting the evolution and integration of new technologies over time. The paper examines how five leading manufacturing nationsGermany, the USA, Japan, China, and Taiwanhave each adopted unique strategies for embracing the fourth industrial revolution and smart manufacturing. It discusses the array of technologies enabling smart manufacturing systems, including virtual reality, augmented reality, mixed reality, additive manufacturing, big data analytics, the Industrial Internet of Things, and artificial intelligence."
12,"Fei Tao, Qinglin Qi, Ang Liu, and Andrew Kusiak,  “Data-driven smart manufacturing,”  Journal of Manufacturing Systems, vol. 48, pp. 157–169, 2018.  doi: 10.1016/j.jmsy.2018.01.006  [URL](https://doi.org/10.1016/j.jmsy.2018.01.006)","This paper reviews the role of big data in smart manufacturing, tracing the evolution of manufacturing data through the handicraft, machine, information, and big data ages, and outlining a modern data lifecyclecollection, transmission, storage, processing, visualization, and applicationnow predominantly automated with IoT, cloud computing, and AI. A comprehensive framework for data-driven smart manufacturing integrates real-time monitoring, problem processing, and data driver modules to enable enhanced decision making, faster issue resolution, and dynamic process control. Applications include smart product design using user big data, resource and process optimization via intelligent algorithms, material traceability, real-time process monitoring, predictive quality control, and equipment maintenance analytics. A case study of a silicon wafer production line demonstrates these concepts, with real-time data from RFID sensors and vibration/energy meters enabling responsive production. Security challenges such as edge trust, virtualization risks, provisioning, and compliance with standards like IEC 62443 and ISO/IEC 27001 are highlighted, alongside recommended best practices (e.g., encrypted communication, no universal default passwords, resilient telemetry, and validation of input data). The paper notes that the maturity of data collection tech and network limitations (bandwidth/latency) constrain real-time implementation but sees future work in enhanced, flexible data infrastructures, compatible interfaces, digital twin technologies, and improved connectivity to further enable predictive, adaptive smart manufacturing."
