Index,Citation,Summary
1,"Thomas Savage, Ashwin Nayak, Robert Gallo, Ekanath Rangan, and Jonathan H. Chen, ""Diagnostic reasoning prompts reveal the potential for large language model interpretability in medicine,"" npj Digital Medicine, vol. 7, Article 20, 2024. [Online]. Available: https://www.nature.com/articles/s41746-024-01010-1","This study examines whether large language models (LLMs), specifically GPT-3.5 and GPT-4, can imitate human clinical reasoning when making diagnostic decisions in medicine. The researchers developed specialized diagnostic reasoning promptsmodeled on differential diagnosis, intuitive, analytical, and Bayesian inferenceand compared them to traditional chain-of-thought (CoT) prompting using free-response USMLE (MedQA) exam questions and challenging New England Journal of Medicine (NEJM) case reports. GPT-3.5 achieved its best accuracy (48%) with intuitive reasoning, but performed significantly worse with other clinical reasoning prompts compared to traditional CoT. GPT-4 showed improved overall accuracy (7678% across most prompting strategies on MedQA) with little significant performance difference between traditional CoT and diagnostic reasoning prompts. Notably, GPT-4 can convincingly generate rationales that mimic clinical reasoning processes, which supports interpretability, allowing clinicians to assess the trustworthiness of responses based on rationale qualitythe study found incorrect answers often included logical errors (65% of incorrect GPT-4 rationales), whereas correct ones did so less frequently (18%). These insights suggest that while GPT-4 can emulate clinical reasoning formats, it does not necessarily use human-like reasoning processes to improve diagnostic accuracy, but its ability to provide interpretable rationales may help mitigate the black box perception of LLMs in clinical settings. All datasets and code are openly available via figshare."
2,"Marco Guevara, Shan Chen, Spencer Thomas, Tafadzwa L. Chaunzwa, Idalid Franco, Benjamin H. Kann, Shalini Moningi, Jack M. Qian, Madeleine Goldstein, Susan Harper, Hugo J. W. L. Aerts, Paul J. Catalano, Guergana K. Savova, Raymond H. Mak, and Danielle S. Bitterman, ""Large language models to identify social determinants of health in electronic health records,"" npj Digital Medicine, vol. 7, Article 6, 2024. [Online]. Available: https://www.nature.com/articles/s41746-023-00970-0","Social determinants of health (SDoH), critical for understanding health disparities, are underdocumented in structured electronic health records (EHRs) but often appear in unstructured clinical notes. This study evaluated methods for using large language models (LLMs) to extract six SDoH categoriesemployment, housing, transportation, parental status, relationship, and social supportfrom EHR narratives. Utilizing a curated dataset of annotated clinic notes and synthetic data generated via GPT-3.5, fine-tuned Flan-T5 models (especially the XL/XXL variants) achieved robust performance, with $\text{macro-F1} = 0.71$ for detecting any SDoH and $0.70$ for adverse mentions; these outperformed both BERT and zero/few-shot ChatGPT-family models except for GPT-4 with 10-shot prompting in adverse SDoH detection. Data augmentation with LLM-synthesized text improved performance particularly for rare classes and reduced sensitivity to annotation scarcity. Importantly, fine-tuned models demonstrated lower susceptibility to demographic bias: their predictions were less affected by injected race/ethnicity or gender descriptors ($p < 0.05$) compared to ChatGPT. When benchmarked against EHR structured codes (ICD-10 Z-codes), text-extracted models identified 93.8% of patients with adverse SDoH, while codes alone identified only 2.0%. The findings support the utility of specialized LLMs and synthetic data for better SDoH documentation and highlight publicly available resources to advance research and support patient care."
3,"Hanyin Wang, Chufan Gao, Christopher Dantona, Bryan Hull, and Jimeng Sun, ""DRG-LLaMA : tuning LLaMA model to predict diagnosis-related group for hospitalized patients,"" npj Digital Medicine, vol. 7, Article 16, 2024. [Online]. Available: https://www.nature.com/articles/s41746-023-00989-3","The study introduces DRG-LLaMA, an advanced large language model based on LLaMA and fine-tuned using Low-Rank Adaptation (LoRA) on 236,192 MIMIC-IV discharge summaries, aimed at improving the accuracy of Diagnosis-Related Group (DRG) assignment in the U.S. inpatient payment system. DRG-LLaMA-7B surpassed prior models, achieving a macro-averaged F1 score of 0.327 (a 40.3% and 35.7% relative improvement over ClinicalBERT and CAML), a top-1 prediction accuracy of 52.0%, and macro-AUC of 0.986. The approach included both single-label and decomposed two-label (base DRG and CC/MCC status) classification, with the former yielding slightly better performance. Model scalability (size and input length) correlated with performance gains, with the 13B model and 1024 tokens achieving a macro-F1 of 0.361. Analysis revealed that DRG-LLaMAs performance particularly excelled with common DRGs and longer, higher-quality summaries, though limitations persist due to the use of only discharge summaries and computational constraints. The models superior results suggest large, context-aware LLMs are effective for clinical coding tasks, and future work should extend to earlier-stage note prediction, larger models, and real-world integration in hospital workflows. The main equation for the two-label loss was $L_\text{total} = L_\text{CE, base DRG} + 0.5 \, L_\text{CE, CC/MCC}$. Error analysis identified key challenges in concept extraction, information completeness, and nuanced DRG mapping."
4,"J. Zhou, W. Zhong, Y. Wang, and J. Wang, ""Adaptive-solver framework for dynamic strategy selection in large language model reasoning,"" Information Processing & Management, vol. 62, no. 3, Article 104052, 2025. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0306457324000468","Large Language Models (LLMs) excel at reasoning tasks but typically use a fixed problem-solving approach for all cases, resulting in either unnecessary computational overhead for easy problems or insufficient capability for difficult ones. This paper introduces the Adaptive-Solver (AS) framework, which dynamically adapts model choice, sample size, prompting method, and problem decomposition based on real-time reliability signals (measured via answer consistency) for each question. AS operates via two modules: an initial evaluation that accepts reliable answers after a few calls, and an adaptation module that escalates resources or changes strategy when confidence is low. Experiments on benchmarks like GSM8K, SVAMP, and AQuA show AS reduces expensive API calls by up to 85% without loss in accuracy, or achieves up to 4.5% better accuracy at a fixed computational budget compared to static methods. Ablation studies demonstrate that each adaptation strategymodel, prompt, sample size, or decompositioncontributes individually, but recursive and multi-strategy adaptations provide the largest gains. Limitations include reliance on answer-consistency signals and a rule-based adaptation controller, suggesting future directions in learned controllers and more challenging multimodal benchmarks. Overall, AS narrows the gap between current LLM strategies and the flexible, adaptive reasoning seen in humans, offering a robust pathway for flexible and resource-efficient AI reasoning at scale."
5,"B. Liu, C. Lyu, Z. Min, Z. Wang, J. Su, and L. Wang, ""Retrieval-augmented multi-modal chain-of-thoughts reasoning for large language models,"" Information Processing & Management, vol. 62, no. 1, Article 103907, 2025. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0306457323004317","This paper introduces a novel method for enhancing multi-modal reasoning in Large Language Models (LLMs) using retrieval-augmented Chain of Thought (CoT) demonstration selection. By dynamically retrieving demonstration examples based on cross-modal and intra-modal similarities, and employing Stratified Sampling to promote diversity, the approach ensures that selected examples are both relevant and varied. The methodology involves converting images to textual information using captioning and OCR, encoding examples with models such as CLIP and SentenceBERT, and calculating cosine similarities across four retrieval types: Text-to-Text, Text-to-Image, Image-to-Text, and Image-to-Image. For a test example $q$ with visual and textual context $\{q^v, q^t\}$, the system retrieves top-$k$ similar demonstrations from a pool $Q$ and concatenates these with the original query to form the input prompt. Experiments on ScienceQA and MathVista show significant performance gains: GPT-4 sees a 6\% improvement on ScienceQA and 12.9\% on MathVista, while GPT-4V improves by 2.7\% over zero-shot baselines. Ablation studies confirm that visual knowledge, retrieval mechanisms, and stratified sampling each contribute to improved accuracy, and the combination yields state-of-the-art resultssuch as GPT-4 outperforming previous methods like Chameleon and PoT by 46\%. Despite being tested only on two datasets and mainly with closed-source LLMs, the approach lays important groundwork for diverse and effective demonstration selection in multi-modal CoT LLM prompting, with potential extensions to broader domains and other multi-modal tasks."
6,"X. Liu, X. Wei, G. Shi, D. Liu, F. Qian, P. Wang, and Y. Zhang, ""End-to-end event factuality prediction using directional labeled graph recurrent network,"" Information Processing & Management, vol. 59, no. 2, Article 102836, 2022. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S0306457321003083","This paper introduces the Directional Labeled Graph Recurrent Network (DLGRN), an end-to-end multi-task system for event factuality prediction, which jointly identifies event anchors and determines their factuality values using syntactic dependency graphs. DLGRN encodes both the direction and labels of syntactic relations in a recurrent message passing framework, where each token's hidden state is updated by aggregating information from syntactic neighbors with label- and direction-specific transformation matrices, as in $h^{(t+1)}_i = \mathrm{GRU}(h^{(t)}_i, \mathrm{AGG}^{\rightarrow}_{labels}(\mathrm{msg}(H^{\rightarrow}, L^{\rightarrow}, E^{\rightarrow})), \mathrm{AGG}^{\leftarrow}_{labels}(\mathrm{msg}(H^{\leftarrow}, L^{\leftarrow}, E^{\leftarrow})))$. A novel two-stage graph pruning mechanism filters out irrelevant or redundant edges by (1) removing statistically insignificant label types and (2) keeping only high-attention edges per event. Trained jointly on anchor detection (token-level classification) and factuality assignment (classification/regression), DLGRN achieves new state-of-the-art results on four benchmark datasets (FactBank, Meantime, UW, UDS-IH2), for example: anchor F1 of 94.21 and macro-F1 75.69 on FactBank, and Pearson $r = 0.592$ on UDS-IH2, outperforming all prior baselines. Ablation studies show that modeling edge direction, label, and context, as well as graph pruning and multi-tasking, all contribute significantly to performance. The architecture is robust to syntactic noise and extensible to broader domains, with future work planned for adaptation to other languages and integration with deeper semantic representations."
7,"E. La Malfa, A. Petrov, S. Frieder, C. Weinhuber, R. Burnell, R. Nazar, A. Cohn, N. Shadbolt, and M. Wooldridge, “Language-Models-as-a-Service: Overview of a New Paradigm and its Challenges,” Journal of Artificial Intelligence Research, vol. 80, 2024. Accessed: Aug. 26, 2024. [Online]. Available: https://doi.org/10.1613/jair.1.15865","Some of the most powerful language models today are proprietary and accessible only through restricted web or API interfaces, a trend described as the Language-Models-as-a-Service (LMaaS) paradigm. Unlike open-source models with full accessibility, these closed systems pose challenges for evaluating, benchmarking, and testing. The paper aims to clarify how these challenges hinder the accessibility, reproducibility, reliability, and trustworthiness of LMaaS by systematically assessing the impact of limited information on these aspects. It provides a detailed analysis of existing solutions, offers recommendations, and suggests future directions, while also summarizing licence types and capabilities of popular LMaaS offerings."
8,"C. Wei, K. Duan, S. Zhuo, H. Wang, S. Huang, and J. Liu, “Enhanced Recommendation Systems with Retrieval-Augmented Large Language Model,” Journal of Artificial Intelligence Research, vol. 82, 2025. Accessed: Feb. 26, 2025. [Online]. Available: https://doi.org/10.1613/jair.1.17809","Recommender systems face persistent issues with cold start and data sparsity, often addressed by integrating side information; however, this can introduce noise, inflexibility for data scaling, and inconsistencies, ultimately degrading user preference inference and recommendation quality. Leveraging the extensive knowledge bases and inferential strengths of large language models (LLMs), the authors introduce ER2ALMa framework that utilizes Retrieval-Augmented Generation (RAG) to flexibly and accurately augment auxiliary information, capturing implicit user preferences with reduced noise through a specific strategy designed to enhance reliability. Experimental validation on two real-world datasets shows that ER2ALM significantly outperforms state-of-the-art methods in both accuracy and robustness, suggesting its efficacy as a new paradigm for preference mining in recommendation systems."
9,"M. Pternea, P. Singh, A. Chakraborty, Y. Oruganti, M. Milletari, S. Bapat, and K. Jiang, “The RL/LLM Taxonomy Tree: Reviewing Synergies Between Reinforcement Learning and Large Language Models,” Journal of Artificial Intelligence Research, vol. 80, 2024. Accessed: Aug. 26, 2024. [Online]. Available: https://doi.org/10.1613/jair.1.15960","This work presents a comprehensive review of research combining Reinforcement Learning (RL) and Large Language Models (LLMs), introducing the RL/LLM Taxonomy Tree which classifies the synergy between these fields into three main categories: RL4LLM (where RL improves LLMs, either via fine-tuning or prompt optimization), LLM4RL (where LLMs assist RL by shaping rewards, generating goals, or replacing policy modules), and RL+LLM (where both agents collaborate in planning frameworks without training each other, distinguishable by presence or absence of language feedback). The study systematically surveyed 24 representative publications, mapping them to the taxonomys branches, and compiled comparative tables (`\begin{tabular}{l|c|c} Study & Synergy Class & Core Innovation \\ \hline ... \end{tabular}`) detailing their characteristics and results. The review analyzes motivations for RL/LLM integration, such as RL's sequential decision-making adaptability to NLP tasks and LLMs' reasoning/world knowledge, discusses successes in alignment and Responsible AI, and highlights current challenges including limited real-world applicability, scalability, computational efficiency, and dependency on prompt/fine-tuning sensitivity. The paper situates RLLLM architectures within the broader AI method landscape, acknowledging that while promising, these synergies are not always the optimal solution; it also anticipates significant future progress as the field rapidly evolves, with ongoing updates planned for the taxonomy as new research emerges, thus providing a valuable framework for both understanding current work and guiding future developments in RL/LLM synergy."
10,"J. Huang and K. Chen-Chuan Chang, ""Towards Reasoning in Large Language Models: A Survey,"" Findings of the Association for Computational Linguistics: ACL 2023, pp. 1049–1065, 2023. [Online]. Available: https://arxiv.org/abs/2212.10403","Reasoning is a fundamental element of human intelligence, crucial for tasks such as problem solving, decision making, and critical thinking. This survey provides a comprehensive overview of reasoning abilities in large language models (LLMs), reviewing their architecture, training strategies, benchmarks, and prompting techniques (such as zero-shot, few-shot, chain-of-thought, and instruction-based prompts). The results indicate that large-scale LLMs (e.g., GPT-3, PaLM) can perform well on reasoning benchmarks, with accuracy being highly sensitive to promptingchain-of-thought prompting, in particular, yields substantial improvements. However, despite these advances, LLMs remain brittle and prone to failure on logic puzzles, multi-step inference, and tasks that demand integration of world knowledge; they do not yet match human-level abstraction or causal reasoning. The discussion highlights challenges such as over-reliance on statistical patterns, lack of compositional abstraction, annotation artifacts, and limited interpretability. Current evaluation methods are constrained to static benchmarks and do not fully assess interactive or causal reasoning. The paper suggests future work in developing interactive/causal benchmarks, integrating symbolic reasoning, improving rationale transparency, and exploring scaling laws for emergent reasoning abilities. Although substantial progress has been made, fundamental questions about the nature and limitations of LLM reasoning persist, and further cross-disciplinary research is needed to bridge these gaps and advance towards genuine reasoning in language models."
