Index,Citation
1,"C. S. Ong, N. T. Obey, Y. Zheng, A. Cohan, and E. B. Schneider, “SurgeryLLM: a retrieval-augmented generation large language model framework for surgical decision support and workflow enhancement,” npj Digital Medicine, vol. 7, Article no. 364, 2024. Published: 18 December 2024. Available: https://www.nature.com/articles/s41746-024-01391-3"
2,"Y. H. Ke, L. Jin, K. Elangovan, H. R. Abdullah, N. Liu, A. T. H. Sia, C. R. Soh, J. Y. M. Tung, J. C. L. Ong, C.-F. Kuo, S.-C. Wu, V. P. Kovacheva, D. S. W. Ting, “Retrieval augmented generation for 10 large language models and its generalizability in assessing medical fitness,” npj Digital Medicine, vol. 8, Article no. 187, 2025. Published: 05 April 2025. Available: https://www.nature.com/articles/s41746-025-01519-z"
3,"I. Lopez, A. Swaminathan, K. Vedula, S. Narayanan, F. Nateghi Haredasht, S. P. Ma, A. S. Liang, S. Tate, M. Maddali, R. J. Gallo, N. H. Shah, J. H. Chen, “Clinical entity augmented retrieval for clinical information extraction,” npj Digital Medicine, vol. 8, Article no. 45, 2025. Published: 19 January 2025. Available: https://www.nature.com/articles/s41746-024-01377-1"
4,"L. Huang, J. Yang, and Z. H. Zhang, “A Comprehensive Review on Retrieval-Augmented Language Models,” IEEE Transactions on Neural Networks and Learning Systems, vol. 33, no. 5, pp. 2348–2361, 2022. URL: [link unavailable, see Google Scholar or IEEE Xplore for direct access]"
5,"S. Liu, A. B. McCoy, and A. Wright, “Improving large language model applications in biomedicine with retrieval-augmented generation: a systematic review, meta-analysis, and clinical development guidelines,” Journal of the American Medical Informatics Association, vol. 32, no. 4, pp. 605–615, Apr. 2025. doi: 10.1093/jamia/ocaf008. URL: https://pubmed.ncbi.nlm.nih.gov/39812777/"
6,"Y. Li, J. Zhao, M. Li, Y. Dang, E. Yu, J. Li, Z. Sun, U. Hussein, J. Wen, A. M. Abdelhameed, J. Mai, S. Li, Y. Yu, X. Hu, D. Yang, J. Feng, Z. Li, J. He, W. Tao, T. Duan, Y. Lou, F. Li, and C. Tao, “RefAI: a GPT-powered retrieval-augmented generative tool for biomedical literature recommendation and summarization,” Journal of the American Medical Informatics Association, vol. 31, no. 9, pp. 2030–2039, Sep. 2024. doi: 10.1093/jamia/ocae129. URL: https://pubmed.ncbi.nlm.nih.gov/38857454/"
7,"Z. Zhan, S. Zhou, M. Li, and R. Zhang, “RAMIE: retrieval-augmented multi-task information extraction with large language models on dietary supplements,” Journal of the American Medical Informatics Association, vol. 32, no. 3, pp. 545–554, Mar. 2025. doi: 10.1093/jamia/ocaf002. URL: https://pubmed.ncbi.nlm.nih.gov/39798153/"
8,"Y. Gao, Y. Xiong, X. Gao, K. Jia, J. Pan, Y. Bi, Y. Dai, J. Sun, M. Wang, and H. Wang, “Retrieval-Augmented Generation for Large Language Models: A Survey,” arXiv preprint arXiv:2312.10997, 2024. [Online]. Available: https://arxiv.org/abs/2312.10997"
9,"H. Wang, A. Prasad, E. Stengel-Eskin, and M. Bansal, “Retrieval-Augmented Generation with Conflicting Evidence,” arXiv preprint arXiv:2504.13079, 2025. [Online]. Available: https://arxiv.org/abs/2504.13079"
10,"P. Lewis, E. Perez, A. Piktus, F. Petroni, V. Karpukhin, N. Goyal, H. Küttler, M. Lewis, W. Yih, T. Rocktäschel, S. Riedel, and D. Kiela, “Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,” in Advances in Neural Information Processing Systems (NeurIPS), vol. 33, 2020. arXiv:2005.11401. [Online]. Available: https://arxiv.org/abs/2005.11401"
