Index,Citation,Summary
1,"A. Aknouche and M. G. Scotto, ""A multiplicative thinning‐based integer‐valued GARCH model,"" J. Time Ser. Anal., vol. 45, no. 1, pp. 4–26, 2024. [Online]. Available: https://onlinelibrary.wiley.com/doi/10.1111/jtsa.12690","In this paper, the authors propose a novel multiplicative integer-valued time series model constructed as the product of a unit-mean integer-valued iid sequence and an integer-valued dependent process, the latter built via binomial thinning of its own and the observed process's past values. This new model elegantly merges properties of INGARCH (integer-valued GARCH), ACD, and INAR processes, enabling it to efficiently generate time series with high overdispersion, persistence, and heavy-tailed distributions while remaining semi-parametric and parsimonious. The dynamic probabilistic structure is investigated, and parameters are estimated with a two-stage weighted least squares estimator (2SWLSE), whose consistency and asymptotic normality are established. Applications to both simulated and real-world count time series data are provided, demonstrating the models practical utility."
2,"H. Yuan, K. Lu, G. Li, and J. Wang, ""High-Frequency-Based Volatility Model with Network Structure,"" J. Time Ser. Anal., vol. 45, no. 4, pp. 533–557, 2024. [Online]. Available: https://onlinelibrary.wiley.com/doi/10.1111/jtsa.12751","This paper introduces the network HEAVY model, an extension of the multivariate HEAVY framework that incorporates a time-varying, factor-driven network structure to model dependencies among financial asset volatilities using both high-frequency (realized) and low-frequency (integrated) volatility measures. The model is specified as $V_t = \Gamma_0 + \Gamma_1 x_{t-1} + \Gamma_2 V_{t-1}$, where the realized volatility $x_{it}$ for each asset $i$ is linked across assets via time-varying weights $w_{ij,t}$ defined by latent factors: $w_{ij,t} = \sum_{k=1}^K \beta_{ik} \beta_{jk} f_{kt}$. Estimation employs quasi-maximum likelihood and iterative network reconstruction via rolling windows. Simulation results with $N=10,20,50$ assets demonstrate the models ability to recover dynamic network structures accurately, with superior volatility prediction compared to existing benchmarks, especially under network evolution. Empirical application to 50 Chinese stocks reveals that the asset network evolves notably during financial events, forming economically meaningful clusters and yielding improved forecast and risk measures (e.g., RMSE, VaR). Noted challenges include computational complexity and the need for high-frequency data, with future work suggested on real-time estimation and broader applications. Overall, the network HEAVY model provides a theoretically sound and practically effective tool for dynamic financial volatility analysis and risk management."
3,"A. Aknouche and S. Dimitrakopoulos, ""Autoregressive conditional proportion: a multiplicative‐error model for (0, 1)‐valued time series,"" J. Time Ser. Anal., vol. 44, no. 4, pp. 393–417, 2023. [Online]. Available: https://onlinelibrary.wiley.com/doi/10.1111/jtsa.12663","The paper introduces the autoregressive conditional proportion (ARCP) model, a novel multiplicative time series framework for handling (0, 1)-valued datasuch as proportions in finance and insuranceby generalizing GARCH-type dynamics to the conditional mean via the formulation $Y_t = \mu_t \cdot \epsilon_t$, where $\mu_t$ evolves multiplicatively based on past observations and $\epsilon_t$ are i.i.d. innovations with unit mean. This structure enforces the proper proportion range, captures time-varying conditional means and higher-order moments, and admits a Markov chain representation. Stationarity and ergodicity conditions are rigorously derived by analyzing the process as a Markov chain on $(0,1)^p \times (0,1)^q$. Key properties like infinite divisibility, moment and autocorrelation formulas, and a flexible innovation law (e.g., beta) enable thorough modeling of skewed, heavy-tailed data. Maximum likelihood methods allow for efficient parameter estimation, with diagnostics based on both theoretical and empirical residual analyses. Through simulations and real applications to financial durations and insurance claim frequencies, the ARCP model outperforms traditional beta and Bernoulli autoregressive approaches in terms of likelihood, prediction, and goodness-of-fit, with diagnostic tests confirming its adequacy. Challenges include ensuring strict stationarity, handling parameter identifiability in higher order models, and specifying the innovation distribution. Future directions include multivariate extensions, incorporating exogenous covariates, and robust model selection. The ARCP model thus provides a theoretically robust and practically effective solution for dynamic modeling of proportional time series data."
4,"S. Makridakis, E. Spiliotis, and V. Assimakopoulos, ""The M4 Competition: 100,000 time series and 61 forecasting methods,"" International Journal of Forecasting, vol. 36, no. 1, pp. 54–74, Jan.–Mar. 2020. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0169207019301128","The M4 Competition follows on from the three previous M competitions, the purpose of which was to learn from empirical evidence both how to improve the forecasting accuracy and how such learning could be used to advance the theory and practice of forecasting. The aim of M4 was to replicate and extend the three previous competitions by: (a) significantly increasing the number of series, (b) expanding the number of forecasting methods, and (c) including prediction intervals in the evaluation process as well as point forecasts. This paper covers all aspects of M4 in detail, including its organization and running, the presentation of its results, the top-performing methods overall and by categories, its major findings and their implications, and the computational requirements of the various methods. Finally, it summarizes its main conclusions and states the expectation that its series will become a testing ground for the evaluation of new methods and the improvement of the practice of forecasting, while also suggesting some ways forward for the field."
5,"H. Hewamalage, C. Bergmeir, and K. Bandara, ""Recurrent Neural Networks for Time Series Forecasting: Current Status and Future Directions,"" International Journal of Forecasting, vol. 37, no. 1, pp. 388–427, Jan.–Mar. 2021. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0169207020300996","Recurrent Neural Networks (RNNs) have shown competitive forecasting performance, as evidenced by their success in the M4 competition, yet established statistical models like ETS and ARIMA remain popular due to their accuracy, robustness, efficiency, and ease of use for non-experts. This paper offers a comprehensive empirical study and open-source framework evaluating current RNN architectures for forecasting, leading to practical guidelines: RNNs can directly model seasonality in datasets with homogeneous seasonal patterns, but deseasonalization is advisable otherwise. Comparisons reveal that while (semi-)automatic RNN models are not universally superior, they can serve as competitive alternatives to classical statistical approaches in numerous situations."
6,"Y. Kang, R. J. Hyndman, and K. Smith-Miles, ""Visualising forecasting algorithm performance using time series instance spaces,"" International Journal of Forecasting, vol. 33, no. 2, pp. 345–358, Apr.–Jun. 2017. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0169207016301030","It is common practice to evaluate forecasting methods using established time series datasets like the M3 data, but questions remain about the diversity and challenge these datasets offer for distinguishing the strengths and weaknesses of different methods. This paper introduces a visualization approach that represents each time series as a point within a two-dimensional instance space, thereby enabling straightforward visualization of forecasting method performance and diversity assessment across datasets. Addressing concerns about the M3 datasets variability, the authors further propose a method to synthesize new time series with adjustable properties to better populate the instance space, thus enhancing the efficacy and generalizability of benchmarking studies for forecasting methodologies."
7,"H. L. Shang, J. Cao, and P. Sang, ""Stopping time detection of wood panel compression: A functional time-series approach,"" Journal of the Royal Statistical Society: Series C (Applied Statistics), vol. 71, no. 5, pp. 1205–1224, 2022. Available: https://academic.oup.com/jrsssc/article/71/5/1205/7073314","We consider determining the optimal stopping time for the glue curing of wood panels in an automatic process environment. Using near-infrared spectroscopy to monitor the manufacturing process allows substantial savings in energy and time. A time series of 72 spectra from a near-infrared probe is collected to detect the optimal stopping time. The proposed estimation procedure divides the data into training and testing samples, iteratively computes integrated squared forecast errors on the testing sample, and applies a structural break detection method with one breakpoint to estimate the optimal stopping time from the univariate time series of errors. The method's finite-sample performance is evaluated through simulation studies."
8,"V. Cardiff, M. Ritchie, D. Hoy, and K. Esmail, ""Wavelet shrinkage for trend estimation and forecasting in time series,"" Journal of the Royal Statistical Society: Series C (Applied Statistics), vol. 68, no. 2, pp. 295-316, 2019. Available: https://rss.onlinelibrary.wiley.com/doi/full/10.1111/rssc.12296","This paper introduces generalized wavelet shrinkage techniques for nonparametric trend estimation and forecasting in time series with both seasonal and nonseasonal autocorrelated noise. Using discrete wavelet transforms (DWT) and adaptive soft or hard thresholding of coefficientswhere the threshold adapts to the underlying noise structure, such as AR(1), ARMA, or fractionally integrated (long-memory) processesthe methods simultaneously estimate smooth or abrupt trends and provide accurate forecasts. Extensive simulations and benchmark datasets, including ENSO indices, electricity demand, and temperature series, show that wavelet-based estimators and forecasts often yield lower mean squared error and superior detection of level shifts and complex nonstationarity than classical parametric (ARIMA, state space) and nonparametric (local polynomial, spline) approaches. Notably, wavelet methods require no fixed basis or windowing, little parameter tuning, and deliver significant computational speedups for large data. Main limitations include possible underperformance around sharp changes overlapping coarse wavelet supports and the sensitivity of thresholding rules to bias-variance tradeoffs. The study highlights the potential of wavelet shrinkage as an adaptive, computationally efficient framework for trend analysis and forecasting in complex, noisy time series and suggests future research into handling nonstationary noise, online updates, and multivariate extensions."
9,"A. Anastasiou, P. Hatzopoulos, A. Karagrigoriou, and G. Tzagkarakis, ""Causality Distance Measures for Multivariate Time Series with Applications,"" Mathematics, vol. 9, no. 21, Art. no. 2708, 2021. [Online]. Available: https://www.mdpi.com/2227-7390/9/21/2708","In this study, the authors introduce new distance measure algorithmsCausality Within Groups (CAWG), Generalized Causality Within Groups (GCAWG), and Causality Between Groups (CABG)all rooted in Granger causality, tailored for multivariate statistical analysis and clustering of time series data where causal dynamics are prominent, especially in financial and economic domains. The utility of these causal-based distance measures is demonstrated by applying them to hierarchical clustering for the classification of 19 EU countries using seven health resource variables, thus showcasing their potential for uncovering causal structures in complex multivariate datasets."
10,"R. R. Jha, T. S. Teh, and A. R. Hassan, ""Statistical Modeling to Improve Time Series Forecasting Using Machine Learning, Time Series, and Hybrid Models: A Case Study of Bitcoin Price Forecasting,"" Mathematics, vol. 12, no. 23, Art. no. 3666, 2024. [Online]. Available: https://www.mdpi.com/2227-7390/12/23/3666","Bitcoin (BTC-USD), a decentralized digital currency, has seen significant adoption since 2008. This study focuses on forecasting BTC-USD closing prices using data from September 2023 to September 2024, with 390 observations. It employs four machine learning modelsMulti-layer Perceptron, Extreme Learning Machine, Neural Network AutoRegression, and Extreme-Gradient Boostalongside four time series models: Auto-Regressive Integrated Moving Average (ARIMA), Auto-Regressive (AR), Non-Parametric Auto-Regressive, and Simple Exponential Smoothing. Hybrid models, created by simply averaging these individual models, are proposed. The evaluation uses multiple splits of training data (30%, 20%, 10%) for comparative testing, and error metrics such as MAE, RMSE, MAPE, SMAPE, and directional accuracy (correlation, MDA) are reported. Results indicate that the hybrid model consistently outperforms individual models, a finding further supported by the Diebold-Mariano (DM) test and graphical analyses. This hybrid approach thus equips financial analysts with an effective tool for BTC investment forecasting."
