Index,Citation
1,"Y. Ishiki, ""A characterization of metric subspaces of full Assouad dimension,"" Journal of Fractal Geometry, vol. 8, no. 4, pp. 363–388, 2021. [Online]. Available: https://ems.press/journals/jfg/articles/2831056"
2,"P. Kern and L. Pleschberger, ""Parabolic fractal geometry of stable Lévy processes with drift,"" Journal of Fractal Geometry, vol. 11, no. 3/4, pp. 343–371, 2024. [Online]. Available: https://ems.press/journals/jfg/articles/14297999"
3,"M. L. Lapidus, G. Radunović, and D. Žubrinić, ""Fractal tube formulas for compact sets and relative fractal drums: oscillations, complex dimensions and fractality,"" Journal of Fractal Geometry, vol. 5, no. 1, pp. 1–119, 2018. [Online]. Available: https://ems.press/journals/jfg/articles/15256"
4,"Á. G. López, ""Dynamics in Fractal Spaces,"" Fractals, vol. 29, no. 01, pp. 2150016, 2021. [Online]. Available: https://www.worldscientific.com/doi/10.1142/S0218348X2150016X"
5,"G. Calcagni, ""Multifractional Theories: An Updated Review,"" Modern Physics Letters A, vol. 36, no. 04n05, pp. 2130006, 2021. [Online]. Available: https://www.worldscientific.com/doi/abs/10.1142/S021773232140006X"
6,"K. Ullah and S. K. Katiyar, ""Generalized G-Hausdorff space and applications in fractals,"" Chaos, Solitons & Fractals, vol. 174, 113819, Sep. 2023. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S0960077923007208"
7,"R. Lal, S. Chandra, A. Prajapati, D. Kumar, and S. Abbas, ""Fractal surfaces in Lebesgue spaces with respect to fractal measures and associated fractal operators,"" Chaos, Solitons & Fractals, vol. 181, 114684, Apr. 2024. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S0960077924002364"
8,"B. V. Prithvi and S. K. Katiyar, ""Revisiting fractal through nonconventional iterated function systems,"" Chaos, Solitons & Fractals, vol. 170, 113337, May 2023. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S0960077923002382"
9,"A. A. Attiya, H. M. Abo Seada, and S. Khalil, ""Properties and Applications of Complex Fractal–Fractional Differential Operators,"" Fractal and Fractional, vol. 8, no. 10, p. 584, 2024. [Online]. Available: https://www.mdpi.com/2504-3110/8/10/584"
10,"A. S. Salama, S. Nada, M. Alaidaros, D. Altalhi, T. S. El-Monaem, and S. H. Alshamrani, ""On Product Neutrosophic Fractal Spaces and α-Density in Neutrosophic Fractal Spaces,"" Fractal and Fractional, vol. 9, no. 2, p. 59, 2025. [Online]. Available: https://www.mdpi.com/2504-3110/9/2/59"
11,"R. Anttila and S. Eriksson-Bique, ""On Constructions of Fractal Spaces Using Replacement and the Combinatorial Loewner Property,"" arXiv preprint arXiv:2406.08062 [math.MG], 2024. [Online]. Available: https://arxiv.org/abs/2406.08062"
12,"E. Megias, A. K. Golmankhaneh, and A. Deppman, ""Dynamics in fractal spaces,"" Physics Letters B, vol. 848, p. 138370, 2024. [Online]. Available: https://arxiv.org/abs/2309.13627"
13,"R. Anttila, S. Eriksson-Bique, and R. Shimizu, ""Construction of self-similar energy forms and singularity of Sobolev spaces on Laakso-type fractal spaces,"" arXiv preprint arXiv:2503.13258 [math.MG], 2025. [Online]. Available: https://arxiv.org/abs/2503.13258"
14,"I. Biswas, M. Fernández, V. Muñoz, and M. A. Bastón, ""On formality of Sasakian manifolds,"" Journal of Topology, vol. 9, no. 1, pp. 161-180, 2016. [Online]. Available: https://academic.oup.com/jtopol/article/9/1/161/2459653"
15,"V. Valov, ""Homology manifolds and homogeneous compacta,"" arXiv preprint arXiv:2505.07196 [math.GN], 2025. [Online]. Available: https://arxiv.org/abs/2505.07196"
16,"K. Oyakawa, ""Borel asymptotic dimension of the Roller boundary of finite dimensional CAT(0) cube complexes,"" arXiv preprint arXiv:2505.10334 [math.GT], 2025. [Online]. Available: https://arxiv.org/abs/2505.10334"
17,"A. Lewis, Z. Ojakli, I. Petkova, and B. Shapiro, ""Double-point enhanced GRID invariants and Lagrangian cobordisms,"" arXiv preprint arXiv:2505.07599 [math.GT], 2025. [Online]. Available: https://arxiv.org/abs/2505.07599"
18,"Xin Li, ""Ample groupoids, topological full groups, algebraic K-theory spectra and infinite loop spaces,"" Forum of Mathematics, Pi, vol. 13, 2025, e9. [Online]. Available: https://doi.org/10.1017/fmp.2024.31"
19,"Yoshiko Ogata, ""An $H^{3}(G,\mathbb{T})$-valued index of symmetry-protected topological phases with on-site finite group symmetry for two-dimensional quantum spin systems,"" Forum of Mathematics, Pi, vol. 9, 2021, e13. [Online]. Available: https://doi.org/10.1017/fmp.2021.17"
20,"Jeffrey Bergfalk, Martino Lupini, and Aristotelis Panagiotopoulos, ""The definable content of homological invariants II: Čech cohomology and homotopy classification,"" Forum of Mathematics, Pi, vol. 12, 2024, e12. [Online]. Available: https://doi.org/10.1017/fmp.2024.7"
21,"E J Janse van Rensburg, E Orlandini, M C Tesi, and S G Whittington, ""Thermodynamic and topological properties of copolymer rings with a segregation/mixing transition,"" Journal of Physics A: Mathematical and Theoretical, vol. 55, no. 43, Article 435002, Nov. 2022. [Online]. Available: https://doi.org/10.1088/1751-8121/ac9936"
22,"Nick Bultinck, Dominic J Williamson, Jutho Haegeman, and Frank Verstraete, ""Fermionic projected entangled-pair states and topological phases,"" Journal of Physics A: Mathematical and Theoretical, vol. 51, no. 2, Article 025202, Jan. 2018. [Online]. Available: https://doi.org/10.1088/1751-8121/aa99cc"
23,"Chris Bourne and Emil Prodan, ""Non-commutative Chern numbers for generic aperiodic discrete systems,"" Journal of Physics A: Mathematical and Theoretical, vol. 51, no. 23, Article 235202, May 2018. [Online]. Available: https://doi.org/10.1088/1751-8121/aac093"
24,"Julian Legendre, Eduárd Zsurka, Daniele Di Miceli, Llorenç Serra, Kristof Moors, and Thomas L. Schmidt, ""Topological properties of finite-size heterostructures of magnetic topological insulators and superconductors,"" Physical Review B, vol. 110, no. 7, pp. 075426, 2024. [Online]. Available: https://arxiv.org/abs/2404.16520 and https://doi.org/10.1103/PhysRevB.110.075426"
