Index,Citation
1,"H. H. Rashidi, S. Albahra, B. P. Rubin, and B. Hu, ""A novel and fully automated platform for synthetic tabular data generation and validation,"" Scientific Reports, vol. 14, Article number: 23312, 2024. [Online]. Available: https://www.nature.com/articles/s41598-024-73608-0"
2,"L. Kühnel, J. Schneider, I. Perrar, T. Adams, S. Moazemi, F. Prasser, U. Nöthlings, H. Fröhlich, and J. Fluck, ""Synthetic data generation for a longitudinal cohort study – evaluation, method extension and reproduction of published data analysis results,"" Scientific Reports, vol. 14, Article number: 14412, 2024. [Online]. Available: https://www.nature.com/articles/s41598-024-62102-2"
3,"Z. Qian, T. Callender, B. Cebere, S. M. Janes, N. Navani, and M. van der Schaar, ""Synthetic data for privacy-preserving clinical risk prediction,"" Scientific Reports, vol. 14, Article number: 25676, 2024. [Online]. Available: https://www.nature.com/articles/s41598-024-72894-y"
4,"D. Perri, M. Simonetti, and O. Gervasi, ""Synthetic Data Generation to Speed-Up the Object Recognition Pipeline,"" Electronics, vol. 11, no. 1, p. 2, 2022. [Online]. Available: https://www.mdpi.com/2079-9292/11/1/2"
5,"M. Goyal and Q. H. Mahmoud, ""A Systematic Review of Synthetic Data Generation Techniques Using Generative AI,"" Electronics, vol. 13, no. 17, p. 3509, 2024. [Online]. Available: https://www.mdpi.com/2079-9292/13/17/3509"
6,"E. Papadaki, A. G. Vrahatis, and S. Kotsiantis, ""Exploring Innovative Approaches to Synthetic Tabular Data Generation,"" Electronics, vol. 13, no. 10, p. 1965, 2024. [Online]. Available: https://www.mdpi.com/2079-9292/13/10/1965"
7,"D. B. Resnik, M. Hosseini, J. J. H. Kim, G. Epiphaniou, and C. Maple, “GenAI synthetic data create ethical challenges for scientists. Here’s how to address them,” Proceedings of the National Academy of Sciences, vol. 122, no. 9, pp. e2409182122, Mar. 2025. [Online]. Available: https://doi.org/10.1073/pnas.2409182122"
8,"D. Adam, “Synthetic data can aid the analysis of clinical outcomes: How much can it be trusted?,” Proceedings of the National Academy of Sciences, vol. 121, no. 32, pp. e2414310121, Aug. 2024. [Online]. Available: https://doi.org/10.1073/pnas.2414310121"
9,"S. Ruggles, “The shortcomings of synthetic census microdata,” Proceedings of the National Academy of Sciences, vol. 122, no. 11, pp. e2424655122, Mar. 2025. [Online]. Available: https://doi.org/10.1073/pnas.2424655122"
11,"Y. Liu, R. Shen, and X. Shen, ""Novel Uncertainty Quantification Through Perturbation-Assisted Sample Synthesis,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 46, no. 12, pp. 7813–7824, Dec. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10508110"
