category,item,claude-3.7,gemini-2.5,gpt-4.1,Agree (gpt-4.1 vs gemini-2.5),Agree (gpt-4.1 vs claude-3.7),Agree (gemini-2.5 vs claude-3.7),Agreement,Paper Name
Analysis,Depth,4.6,4.6,4.6,1.0,1.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Analysis,Gaps,4.6,4.6,4.6,1.0,1.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Analysis,Integration,4.6,4.6,4.6,1.0,1.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Literature,Balance,4.8,4.8,4.9,0.0,0.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Literature,Comprehensiveness,4.8,4.9,4.9,1.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Literature,Currency,5.0,5.0,5.0,1.0,1.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Organization,Logical Flow,5.0,4.8,4.8,1.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Organization,Section Clarity,5.0,4.7,4.9,0.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Organization,Summarization,3.8,4.1,4.0,0.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Originality,Advancement,4.5,4.6,4.6,1.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Originality,Novelty,3.8,3.8,3.8,1.0,1.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Originality,Redundancy Avoidance,4.8,4.7,4.5,0.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Presentation,Formatting,5.0,4.9,5.0,0.0,1.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Presentation,Language,5.0,4.9,5.0,0.0,1.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Presentation,Visuals,2.1,2.6,2.4,0.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
References,Accuracy,4.8,4.9,4.9,1.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
References,Appropriateness,5.0,5.0,5.0,1.0,1.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Scope,Audience,4.6,4.7,4.7,1.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Scope,Objectives,3.2,3.3,3.4,0.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Scope,Relevance,5.0,4.8,4.9,0.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
TOTAL,,90.0,90.3,90.50000000000001,,,,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
