category,item,claude-3.7,gemini-2.5,gpt-4.1,Agree (gpt-4.1 vs gemini-2.5),Agree (gpt-4.1 vs claude-3.7),Agree (gemini-2.5 vs claude-3.7),Agreement,Paper Name
Analysis,Depth,3.33,3.33,3.33,1.0,1.0,1.0,,Prompt Programming and Prompting Language in.pdf
Analysis,Gaps,3.33,3.33,3.44,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
Analysis,Integration,3.56,3.67,3.56,0.0,1.0,0.0,,Prompt Programming and Prompting Language in.pdf
Literature,Balance,4.11,3.78,4.11,0.0,1.0,0.0,,Prompt Programming and Prompting Language in.pdf
Literature,Comprehensiveness,4.67,4.56,4.67,0.0,1.0,0.0,,Prompt Programming and Prompting Language in.pdf
Literature,Currency,5.0,4.89,5.0,0.0,1.0,0.0,,Prompt Programming and Prompting Language in.pdf
Organization,Logical Flow,4.78,4.67,4.44,0.0,0.0,0.0,,Prompt Programming and Prompting Language in.pdf
Organization,Section Clarity,4.89,4.78,4.67,0.0,0.0,0.0,,Prompt Programming and Prompting Language in.pdf
Organization,Summarization,3.78,3.78,3.78,1.0,1.0,1.0,,Prompt Programming and Prompting Language in.pdf
Originality,Advancement,3.56,3.44,3.56,0.0,1.0,0.0,,Prompt Programming and Prompting Language in.pdf
Originality,Novelty,3.44,3.44,3.33,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
Originality,Redundancy Avoidance,4.0,4.0,4.33,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
Presentation,Formatting,4.67,4.78,4.56,0.0,0.0,0.0,,Prompt Programming and Prompting Language in.pdf
Presentation,Language,4.89,5.0,5.0,1.0,0.0,0.0,,Prompt Programming and Prompting Language in.pdf
Presentation,Visuals,3.33,3.33,3.22,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
References,Accuracy,4.33,4.33,4.22,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
References,Appropriateness,5.0,5.0,5.0,1.0,1.0,1.0,,Prompt Programming and Prompting Language in.pdf
Scope,Audience,4.33,4.44,4.56,0.0,0.0,0.0,,Prompt Programming and Prompting Language in.pdf
Scope,Objectives,2.67,2.67,2.78,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
Scope,Relevance,5.0,5.0,4.78,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
TOTAL,,82.67,82.22,82.34,,,,,Prompt Programming and Prompting Language in.pdf
