Index,Citation,Summary
1,"C. S. Ong, N. T. Obey, Y. Zheng, A. Cohan, and E. B. Schneider, “SurgeryLLM: a retrieval-augmented generation large language model framework for surgical decision support and workflow enhancement,” npj Digital Medicine, vol. 7, Article no. 364, 2024. Published: 18 December 2024. Available: https://www.nature.com/articles/s41746-024-01391-3","SurgeryLLM is a Retrieval-Augmented Generation (RAG)-enhanced large language model framework designed to incorporate up-to-date, domain-specific knowledge from evidence-based surgical guidelines into clinical decision-making. The study highlights the urgent need for such innovations due to projected shortages and high workloads among surgeons, especially in cardiac specialties. SurgeryLLM utilized LangChain for document loading, GPT4All for embedding generation, and a local Llama-based LLM framework for processing queries. In tests with simulated cardiovascular patient cases, SurgeryLLM outperformed a conventional, non-augmented LLM (VanillaLLM) across four tasks: identifying abnormal lab values, detecting missing investigation data, formulating management recommendations per national surgical guidelines, and drafting structured operative notes. SurgeryLLMs responses aligned with current clinical guidelines (such as recommending CABG for coronary disease and TAVI for valve conditions), while VanillaLLM either declined, provided vague responses, or showed uncertainty. Challenges remain around patient data quality and completeness, and ongoing development aims to further refine context-aware retrieval, reporting precision, and bias mitigation. The study concludes that SurgeryLLM demonstrates the feasibility and promise of RAG-augmented LLMs in enhancing surgeon efficiency, patient safety, and optimizing outcomes, particularly as healthcare systems face increasing demand and specialization."
2,"Y. H. Ke, L. Jin, K. Elangovan, H. R. Abdullah, N. Liu, A. T. H. Sia, C. R. Soh, J. Y. M. Tung, J. C. L. Ong, C.-F. Kuo, S.-C. Wu, V. P. Kovacheva, D. S. W. Ting, “Retrieval augmented generation for 10 large language models and its generalizability in assessing medical fitness,” npj Digital Medicine, vol. 8, Article no. 187, 2025. Published: 05 April 2025. Available: https://www.nature.com/articles/s41746-025-01519-z","Large Language Models (LLMs), when enhanced by Retrieval Augmented Generation (RAG), can effectively and safely deliver preoperative medical guidance by incorporating specialized guidelines. This study evaluated ten LLMs, including GPT-3.5, GPT-4, Gemini, Llama2/3, and Claude, comparing their performancevia a novel S.C.O.R.E. frameworkagainst human clinicians over 14 clinical scenarios using 35 local and 23 international perioperative guidelines. The GPT-4 RAG model paired with international guidelines achieved the highest accuracy (96.4%), significantly outperforming both human assessments (86.6%, $p=0.016$) and other LLM variants, and demonstrated high reproducibility (4.86/5) and safety (4.93/5). The LLM-RAG delivered faster and more consistent outputs with reduced hallucinations compared to both humans and non-RAG LLMs, especially in triaging surgical fitness and issuing guideline-based instructions. While accuracy for medication guidance was slightly better among human evaluators, LLM-RAG excelled in other domains, evidencing the power of international, text-based guideline integration in minimizing workflow inconsistencies and potential surgery cancellations. Despite challenges such as computational overhead, varying local guideline quality, and occasional hallucinations in some LLMs (notably Llama2-local), the adaptable and scalable design of LLM-RAG frameworks like Llamaindex portends broader clinical utility. Future advancements may focus on dynamic retrieval, context-aware augmentation, and fine-tuning to further enhance real-world deployment and standardization in healthcare."
3,"I. Lopez, A. Swaminathan, K. Vedula, S. Narayanan, F. Nateghi Haredasht, S. P. Ma, A. S. Liang, S. Tate, M. Maddali, R. J. Gallo, N. H. Shah, J. H. Chen, “Clinical entity augmented retrieval for clinical information extraction,” npj Digital Medicine, vol. 8, Article no. 45, 2025. Published: 19 January 2025. Available: https://www.nature.com/articles/s41746-024-01377-1","Large language models (LLMs) using retrieval-augmented generation (RAG) have enhanced clinical information extraction, but often struggle with inefficient retrieval due to reliance on embeddings. This paper introduces CLinical Entity Augmented Retrieval (CLEAR), a RAG pipeline that leverages clinical named entity recognition (NER) to identify and retrieve relevant note chunks before variable extraction, optimizing both performance and efficiency. CLEAR involves zero-shot NER (using Flan-T5-XXL), entity selection (Bio+Clinical BERT and GPT-4), entity augmentation (UMLS, GPT-4), and retrieval of note chunks with MedSpaCy, followed by extraction using multiple LLMs. Evaluated on two real-world EHR datasets (encompassing 18 variables such as substance use, mental health, social determinants, and chest radiograph findings) and compared to embedding-based RAG and full-note approaches, CLEAR achieved superior results: average F1 scores of 0.90 to 0.96, inference times as low as 1.04s per note, >70% reductions in token usage and processing time, and fewer model queries per note (see simplified results table):

\[
\begin{tabular}{l|c|c|c}
 & \text{CLEAR} & \text{Chunk Embedding} & \text{Full Note} \\
\hline
\text{Avg F1} & 0.90-0.97 & 0.86-0.88 & 0.79-0.90 \\
\text{Time (s/note)} & 1.04-4.95 & 4.92-17.41 & 7.2-20.08 \\
\text{Tokens/note (k)} & 1.1 & 3.8 & 6.1 \\
\end{tabular}
\]

CLEARs context prioritization avoids degradation common in long-context LLMs and proves more effective than embedding methods. Beyond improving accuracy and efficiency for variable extraction (up to 97% time savings compared to manual annotation), this approach is extensible to automated knowledge graph generation and has potential for other clinical NLP applications. Code is available at https://github.com/iv-lop/clear, though data sharing is restricted due to privacy requirements. Limitations include focus on variable extraction and the need for further study on other tasks and deployment efficiencies. Overall, CLEAR offers a validated, practical advance for scalable, accurate clinical information extraction."
4,"L. Huang, J. Yang, and Z. H. Zhang, “A Comprehensive Review on Retrieval-Augmented Language Models,” IEEE Transactions on Neural Networks and Learning Systems, vol. 33, no. 5, pp. 2348–2361, 2022. URL: [link unavailable, see Google Scholar or IEEE Xplore for direct access]","The advent of Retrieval-Augmented Generation (RAG) models marks a significant step forward in artificial intelligence, especially for natural language processing and generation. RAG models combine neural networksleveraging architectures such as transformers and attention mechanismswith external databases, producing a dual framework that boosts AI performance by enabling contextually relevant, accurate responses. This synergy helps overcome the typical limitations of classical generative models like hallucination and factual errors, as external data repositories are integrated into the generation pipeline. The paper explores RAGs architectural details and operational methodologies, emphasizing the interplay between retrieval and generation, and demonstrates the models superiority in applications including content creation, personalized AI assistants (with adapting responses based on user preferences and history), and customer service. Through dynamic retrieval of real-time information, RAG models achieve higher precision and contextuality in their outputs, improving both dialogue and factual accuracy. The research also discusses challenges facing RAG, such as computational overhead, handling heterogeneous data sources, and ethical concerns tied to accessing external databases. Finally, it highlights future research directions, suggesting that interdisciplinary work spanning computer science, linguistics, and cognitive psychology will be key to realizing the full potential of RAG models in evolving AI applications."
5,"S. Liu, A. B. McCoy, and A. Wright, “Improving large language model applications in biomedicine with retrieval-augmented generation: a systematic review, meta-analysis, and clinical development guidelines,” Journal of the American Medical Informatics Association, vol. 32, no. 4, pp. 605–615, Apr. 2025. doi: 10.1093/jamia/ocaf008. URL: https://pubmed.ncbi.nlm.nih.gov/39812777/","This systematic review and meta-analysis evaluated the effectiveness of retrieval-augmented generation (RAG) in enhancing large language models (LLMs) for biomedical and clinical tasks, synthesizing findings from 20 eligible studies published in 2023 and 2024 that compared baseline LLMs with RAG-enhanced systems. The pooled effect size indicated a statistically significant improvement, with RAG achieving an odds ratio of 1.35 ($95\%$ CI: $1.19$$1.53$, $P=.001$) over baseline LLMs. Clinical tasks varied, but improvements were consistent across different models and retrieval strategies. The study presented a new framework, GUIDE-RAG, which organizes clinical RAG implementation into iterative stages: pre-retrieval (task definition, resource identification, content preprocessing), retrieval (chunking, indexing, advanced strategies), and post-retrieval (evaluation, knowledge updates, few-shot learning). The authors recommend future research to target (1) system-level enhancements by combining RAG with autonomous agents, (2) knowledge-level improvements through deeper knowledge integration into LLMs, and (3) integration-level innovations by embedding RAG into electronic health records, concluding that RAG materially advances clinical LLM application performance."
6,"Y. Li, J. Zhao, M. Li, Y. Dang, E. Yu, J. Li, Z. Sun, U. Hussein, J. Wen, A. M. Abdelhameed, J. Mai, S. Li, Y. Yu, X. Hu, D. Yang, J. Feng, Z. Li, J. He, W. Tao, T. Duan, Y. Lou, F. Li, and C. Tao, “RefAI: a GPT-powered retrieval-augmented generative tool for biomedical literature recommendation and summarization,” Journal of the American Medical Informatics Association, vol. 31, no. 9, pp. 2030–2039, Sep. 2024. doi: 10.1093/jamia/ocae129. URL: https://pubmed.ncbi.nlm.nih.gov/38857454/","This study introduces RefAI, a retrieval-augmented generation tool that leverages the strengths of large language models (LLMs) while addressing their limitations in biomedical literature recommendation and summarization. Unlike typical GPT-based solutionswhich either generate fabricated articles or fail to cite sourcesRefAI integrates systematic retrieval from PubMed, a novel multivariable article recommendation algorithm, and GPT-4 turbo for summarization. Evaluated against ChatGPT-4, ScholarAI, and Gemini on queries about ""cancer immunotherapy and target therapy"" and ""LLMs in medicine,"" RefAI demonstrated statistically significant improvements ($P < .05$) across five key criteria: literature relevance, recommendation quality, summary accuracy, comprehensiveness, and citation integration. Expert assessments validate that RefAI substantially mitigates common issues like hallucinated articles, metadata errors, limited recommendations, and poor reference inclusion, establishing it as a potent solution for biomedical professionals needing reliable literature navigation and synthesis."
7,"Z. Zhan, S. Zhou, M. Li, and R. Zhang, “RAMIE: retrieval-augmented multi-task information extraction with large language models on dietary supplements,” Journal of the American Medical Informatics Association, vol. 32, no. 3, pp. 545–554, Mar. 2025. doi: 10.1093/jamia/ocaf002. URL: https://pubmed.ncbi.nlm.nih.gov/39798153/","The paper introduces the RAMIE (retrieval-augmented multi-task information extraction) framework, a novel large language model (LLM)-based approach for extracting diverse dietary supplement (DS) information from clinical records across four core tasks: named entity recognition (NER), relation extraction (RE), triple extraction (TE), and usage classification (UC). Recognizing the critical public health importance and challenging clinical text variability involved in accurately extracting DS-related information, RAMIE incorporates instruction fine-tuning with task-specific prompts, multi-task learning (MTL) for simultaneous training and efficiency, and retrieval-augmented generation (RAG) to introduce relevant example retrieval during generation. On annotated datasets, LLMs using RAMIE (e.g., Llama2-13B and MedAlpaca-7B) significantly outperformed BERT-based models, with F1 improvements notable in NER (up to 87.39, a 3.51% gain), RE (up to 93.74, +1.15%), and especially TE (79.45, +14.26%). Ablation studies showed RAGs vital role in boosting accuracy while MTL greatly reduces resource demand; for instance, average F1 dropped 2.72% without RAG. Despite challenges such as clinical language complexity and dataset limitations, RAMIE provides a scalable, storage-efficient, and high-performing solution for automated multi-task DS data extraction; the framework, code, and resources (except for data) are available at https://github.com/Learner4everrr/RAMIE."
8,"Y. Gao, Y. Xiong, X. Gao, K. Jia, J. Pan, Y. Bi, Y. Dai, J. Sun, M. Wang, and H. Wang, “Retrieval-Augmented Generation for Large Language Models: A Survey,” arXiv preprint arXiv:2312.10997, 2024. [Online]. Available: https://arxiv.org/abs/2312.10997","Large Language Models (LLMs) demonstrate strong abilities but struggle with issues like hallucinations, unreliable reasoning, and obsolete or untraceable information. Retrieval-Augmented Generation (RAG) addresses these by integrating external database knowledge, thereby improving accuracy, credibility, and allowing ongoing updates and specialization for knowledge-intensive applications. This review paper thoroughly traces the evolution of RAG, analyzing approaches such as Naive RAG, Advanced RAG, and Modular RAG, while systematically assessing three core elements: retrieval, generation, and augmentation techniques. State-of-the-art methods for each component are discussed, alongside the latest evaluation frameworks and benchmarks. The review concludes by outlining key challenges and directions for future research in RAG-based systems."
9,"H. Wang, A. Prasad, E. Stengel-Eskin, and M. Bansal, “Retrieval-Augmented Generation with Conflicting Evidence,” arXiv preprint arXiv:2504.13079, 2025. [Online]. Available: https://arxiv.org/abs/2504.13079","Large language model (LLM) agents are increasingly employing retrieval-augmented generation (RAG) to improve the factuality of their responses. However, in practice, these systems often need to handle ambiguous user queries and potentially conflicting information from multiple sources while also suppressing inaccurate information from noisy or irrelevant documents. Prior work has generally studied and addressed these challenges in isolation, considering only one aspect at a time, such as handling ambiguity or robustness to noise and misinformation. We instead consider multiple factors simultaneously, proposing (i) RAMDocs (Retrieval with Ambiguity and Misinformation in Documents), a new dataset that simulates complex and realistic scenarios for conflicting evidence for a user query, including ambiguity, misinformation, and noise; and (ii) MADAM-RAG, a multi-agent approach in which LLM agents debate over the merits of an answer over multiple rounds, allowing an aggregator to collate responses corresponding to disambiguated entities while discarding misinformation and noise, thereby handling diverse sources of conflict jointly. We demonstrate the effectiveness of MADAM-RAG using both closed and open-source models on AmbigDocs -- which requires presenting all valid answers for ambiguous queries -- improving over strong RAG baselines by up to 11.40% and on FaithEval -- which requires suppressing misinformation -- where we improve by up to 15.80% (absolute) with Llama3.3-70B-Instruct. Furthermore, we find that RAMDocs poses a challenge for existing RAG baselines (Llama3.3-70B-Instruct only obtains 32.60 exact match score). While MADAM-RAG begins to address these conflicting factors, our analysis indicates that a substantial gap remains especially when increasing the level of imbalance in supporting evidence and misinformation."
10,"P. Lewis, E. Perez, A. Piktus, F. Petroni, V. Karpukhin, N. Goyal, H. Küttler, M. Lewis, W. Yih, T. Rocktäschel, S. Riedel, and D. Kiela, “Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,” in Advances in Neural Information Processing Systems (NeurIPS), vol. 33, 2020. arXiv:2005.11401. [Online]. Available: https://arxiv.org/abs/2005.11401","Large pre-trained language models effectively store factual knowledge and excel in downstream NLP tasks after fine-tuning, but face challenges in precise knowledge manipulation, updating, and providing decision provenance. Retrieval-augmented generation (RAG) models, which integrate pre-trained seq2seq parametric models with non-parametric memory (a dense vector index of Wikipedia accessed via a neural retriever), address these limitations by offering differentiable access to external knowledge. The paper proposes two RAG variants: one that conditions on static retrieved passages for the entire generation sequence, and another that allows different passages per token. Evaluated across multiple knowledge-intensive NLP tasks, these RAG models achieve state-of-the-art results on three open-domain QA benchmarks, outperforming both parametric-only seq2seq models and architecture-specific retrieve-and-extract systems, while also generating more specific, diverse, and factual outputs."
