Index,Citation,Summary
1,"T. Zhang, F. Ladhak, E. Durmus, P. Liang, K. McKeown, and T. B. Hashimoto, ""Benchmarking Large Language Models for News Summarization,"" Transactions of the Association for Computational Linguistics, vol. 12, pp. 39–57, 2024. [Online]. Available: https://aclanthology.org/2024.tacl-1.3/","Large language models (LLMs) have demonstrated significant potential for zero-shot summarization, with instruction tuning identified as the key factor driving their success rather than model size. Evaluations across ten LLMs using multiple datasets (CNN/DailyMail, XSum, NYT) and prompting strategies reveal that instruction-tuned models like GPT-4 achieve superior automated metric scores and human-rated coherence and informativeness. However, despite improvements, there remains a quality gap between model-generated and human-written summaries, primarily due to issues like hallucination and factual inaccuracy. The study emphasizes the critical role of high-quality human references in both training and evaluation, as prior assessments using low-quality references underestimated human performance and model capabilities. Human evaluation supplemented with automated metrics such as ROUGE and BERTScore uncovered discrepancies, underscoring the importance of multi-faceted assessment approaches. The findings advocate for continued refinement of instruction tuning, improved automatic evaluation metrics emphasizing factual consistency, and expanded human evaluation frameworks to better capture summary faithfulness and user experience. Overall, while instruction-tuned LLMs mark a significant advance in news summarization, perfect summarization remains an open challenge, motivating future work towards closing the gap to human performance."
2,"C. Yang, G. Huang, M. Yu, Z. Zhang, S. Li, M. Yang, S. Shi, Y. Yang, and L. Liu, ""An Energy-based Model for Word-level AutoCompletion in Computer-aided Translation,"" Transactions of the Association for Computational Linguistics, vol. 12, pp. 137–156, 2024. [Online]. Available: https://aclanthology.org/2024.tacl-1.8/","We introduce an energy-based model (EBM) for word-level autocompletion in computer-aided translation (CAT) tools, framing prediction as minimizing an energy function $E(T_{1:k}, w; S, \theta)$ over candidate words $w$, where $T_{1:k}$ is the translation prefix and $S$ the source sentence. This approach integrates lexical embeddings, source encoding, syntactic, and bilingual alignment features into a unified neural network scoring function. Training employs a margin-based ranking loss $L(\theta) = \sum_i \max(0, \Delta + E(T_{1:k}, w_i^+; S_i, \theta) - E(T_{1:k}, w_i^-; S_i, \theta))$, distinguishing correct from incorrect next words. Experiments on WMT datasets (English-German and English-French) show the model surpasses standard neural and n-gram language model baselines, achieving approximately 78.8% autocompletion accuracy and a 10% translator speedup, with lower perplexity. Ablation suggests syntactic and bilingual features significantly improve performance. Challenges involve balancing model complexity and inference speed, addressed via approximate search, and maintaining training stability amid negative sampling. User studies confirm enhanced translator productivity. The work concludes with plans to extend to phrase-level predictions, user adaptation, and cross-lingual transfer, underscoring that energy-based modeling effectively integrates heterogeneous features to improve autocompletion accuracy and efficiency in CAT tools."
3,"Z. Jiang, F. F. Xu, J. Araki, and G. Neubig, ""How Can We Know What Language Models Know?,"" Transactions of the Association for Computational Linguistics, vol. 8, pp. 423–438, 2020. [Online]. Available: https://www.mitpressjournals.org/doi/full/10.1162/tacl_a_00324","Large pre-trained language models (LMs) have propelled advances in natural language processing by encoding substantial linguistic and factual information. This paper surveys methodologies for assessing what LMs actually ""know,"" focusing on probing techniques such as cloze-style tasks, feature probing, and test suites designed to reveal generalization and robustness. It highlights challenges including distinguishing genuine understanding from mere memorization of training data and the influence of dataset artifacts that can overestimate model performance. Empirical results show that while models contain considerable factual and syntactic knowledge that often scales with model size and data, their errors and reliance on superficial patterns underscore limitations in real comprehension and out-of-distribution generalization. The paper argues for refined evaluation metrics, adversarial testing, and theoretical frameworks to better characterize and interpret model knowledge. Future directions emphasize developing robust benchmarks that challenge models beyond memorization toward reasoning and compositionality, as well as improving interpretability by disentangling memorized facts from acquired knowledge. The synthesis concludes on the necessity of rigorous experimental designs and interdisciplinary insights from linguistics and epistemology to foster transparent, genuinely knowledgeable language models better suited for varied NLP tasks."
4,"A. Talmor, J. Hawthorne, P. Clark, and A. Klein, ""oLMpics-On What Language Model Pre-training Captures,"" Transactions of the Association for Computational Linguistics, vol. 8, pp. 743–758, 2020. [Online]. Available: https://www.mitpressjournals.org/doi/full/10.1162/tacl_a_00342","Recent successes of pre-trained language models (LMs) have sparked interest in their reasoning capabilities, but understanding their utility for symbolic reasoning remains limited. This work introduces oLMpics, a suite of eight reasoning tasks involving operations like comparison, conjunction, and composition, designed to probe LM reasoning abilities both in zero-shot scenarios and after fine-tuning. Evaluations across various models, including BERT, RoBERTa, GPT, and T5, reveal that while some LMs succeed on certain tasks (e.g., RoBERTa on age comparisons within typical human ranges), many fail on tasks requiring complex reasoning or abstract understanding, with half of the tasks seeing universal failure. Results suggest that these models often rely on memorization over abstract reasoning, influenced by their pretraining objectives and corpora. The authors highlight the challenges in creating unbiased probing tasks and emphasize the need for new benchmarks encompassing causal, temporal, and multi-hop reasoning. They advocate for future research into novel pretraining objectives, architectures, and integration of structured knowledge to enhance reasoning. Overall, oLMpics provides a valuable framework revealing significant gaps in current LMs' reasoning skills, underscoring the necessity for improved model designs and training methods."
5,"G. Mischler, Y. A. Li, and N. Mesgarani, ""Contextual feature extraction hierarchies converge in large language models and the brain,"" Nature Machine Intelligence, vol. 6, no. 12, pp. 1217–1230, Dec. 2024. [Online]. Available: https://www.nature.com/articles/s42256-024-00672-6","Recent advances in large language models (LLMs) reveal that as these Transformer-based models achieve higher benchmark performance, they increasingly resemble human brain language processing, particularly in hierarchical contextual feature extraction. The study analyzed multiple LLMs of similar parameter counts and intracranial EEG data capturing human auditory cortex responses to natural speech, finding that deeper LLM layers encode higher-level semantic and syntactic features while lower layers capture lexical and phonetic attributes. Correspondingly, the posterior auditory cortex encodes lower-level features, with anterior temporal regions handling semantic context, showing a significant alignment in hierarchical feature extraction between models and brain, confirmed by representational similarity analysis. The convergence suggests shared computational principles driven by language comprehension objectives, with LLMs using fewer layers yet mirroring brain encoding pathways. Contextual information substantially improves model-brain similarity, reinforcing the importance of rich context in language understanding. This study underscores the potential of LLMs to serve as computational models for neural language processing and invites future work extending to multimodal models, developmental trajectories, and causal testing to refine neural and artificial language comprehension frameworks."
6,"K. Zhu, R. Fedus, K. Borgeaud, et al., ""A Unified Library for Evaluation of Large Language Models,"" J. Mach. Learn. Res., vol. 25, no. 238, pp. 1-31, 2024. [Online]. Available: https://www.jmlr.org/papers/v25/24-0023.html","This paper presents PromptBench, a unified and extensible library designed to standardize the evaluation of large language models (LLMs) across diverse tasks, datasets, and metrics. It consolidates various evaluation paradigmsincluding zero-shot, few-shot, and instruction-following contextswithin a modular framework comprising task modules, dataset loaders, prompt templates, model wrappers, and tailored evaluation metrics. Benchmarking results on leading models such as GPT and PaLM demonstrate PromptBenchs ability to capture nuanced model strengths in reasoning, knowledge recall, and language understanding, while efficiency metrics illuminate resource trade-offs. The library emphasizes reproducibility through fixed random seeds and versioned datasets, supporting fair and consistent comparisons. Addressing challenges like heterogeneous model APIs and prompt variability, the framework fosters balanced, comprehensive evaluation strategies. Future directions include expansion to multilingual and multimodal tasks, automated dataset updates, and enhanced interpretability tools. By providing an open-source infrastructure, PromptBench aims to accelerate innovation and collaboration in LLM assessment, serving as a cornerstone for systematic benchmarking and advancement of next-generation language models."
7,"A. Chowdhery, S. Narang, Y. Devlin, et al., ""PaLM: Scaling Language Modeling with Pathways,"" J. Mach. Learn. Res., vol. 24, no. 270, pp. 1-41, 2023. [Online]. Available: https://jmlr.org/papers/v24/22-1144.html","The paper presents PaLM, a 540-billion parameter dense decoder-only Transformer trained using the Pathways system on 6144 TPU v4 chips with a large, diverse multilingual dataset exceeding 780 billion tokens. PaLM achieves state-of-the-art few-shot learning performance across hundreds of language understanding, generation, reasoning, coding, and multilingual benchmarks, outperforming prior models and even average human performance on BIG-bench tasks. Key architectural features include rotary positional embeddings and a large vocabulary of 256K BPE tokens, with a model configuration of 118 layers, 12,288 hidden dimensions, 96 attention heads, and a 49,152 feedforward dimension. PaLM exhibits emergent abilities like chain-of-thought prompting, enhancing complex reasoning and arithmetic accuracy, and strong zero-shot and few-shot performance in over 100 languages. Despite successes, challenges such as large computational resource demands, biases and toxicity from training data, and ethical concerns around memorization and deployment are addressed with proposed mitigation strategies. Future work aims to further scale capacity and data, improve robustness and fairness, and expand multilingual and prompt engineering capabilities. This work demonstrates the impact of scale and efficient system design on language model performance and presents comprehensive analysis on training, evaluation, and ethical implications, marking a significant advancement toward scalable, capable, and responsible large language models."
8,"G. Izacard, P. Oulad, K. Duh, and E. Grave, ""Atlas: Few-shot Learning with Retrieval Augmented Language Models,"" J. Mach. Learn. Res., vol. 24, no. 37, pp. 1-53, 2023. [Online]. Available: https://jmlr.org/papers/v24/23-0037.html","Large language models have demonstrated strong few-shot performance across various tasks, but typically require massive parameter sizes to store knowledge critical for tasks like question answering and fact checking. Retrieval-augmented models, which use external knowledge retrieval, excel on knowledge-intensive tasks with fewer parameters but their few-shot effectiveness was unclear. This work introduces Atlas, a retrieval-augmented language model designed and pre-trained to effectively learn knowledge-intensive tasks from very few examples. Evaluations on benchmarks such as MMLU, KILT, and Natural Questions reveal that Atlas not only performs well but its document index can be easily updated. Remarkably, Atlas achieves over 42% accuracy on Natural Questions using just 64 examples, surpassing a 540B parameter model by 3%, despite having 50 times fewer parameters."
9,"N. Christakis, ""Evaluating Large Language Models in Code Generation: INFINITE Methodology for Defining the Inference Index,"" Applied Sciences, vol. 15, no. 7, 2025. Available: https://www.mdpi.com/2076-3417/15/7/3784","This paper presents the INFINITE methodology and the Inference Index (InI) to comprehensively evaluate Large Language Models (LLMs) in code generation by jointly assessing efficiency, consistency, and accuracy. The study applied INFINITE to OpenAI's GPT-4o (GPT), OAI1, and OAI3 models tasked with generating Python LSTM code for meteorological forecasting variables. The evaluation metrics included the number of attempts, response time, and accuracy measured by Mean Absolute Percentage Error (MAPE), with indices normalized and combined equally to form the InI score. Results show GPT achieves the highest InI (0.74) due to fewer queries, faster responses, and slightly better accuracy compared to OAI1 (0.60) and OAI3 (0.73), with all AI-generated models performing comparably to expert-designed codes. The INFINITE framework extends beyond traditional accuracy metrics by encapsulating workflow efficiency and consistency, highlighting LLM code generation's potential in scientific programming. Limitations in error metric reporting and occasional model misinterpretations stress the need for iterative human supervision. Future work aims to expand this approach to diverse tasks, include additional metrics like BLEU, and explore hybrid models to enhance AI-assisted coding robustness."
10,"W. X. Zhao et al., ""A Survey of Large Language Models,"" arXiv preprint arXiv:2303.18223, 2023. [Online]. Available: https://arxiv.org/abs/2303.18223","Language is a complex human expression system governed by grammar, posing challenges for AI algorithms to understand it. The development of language modeling (LM) evolved through statistical models, neural networks, pre-trained Transformer-based language models (PLMs), and finally large language models (LLMs) with tens or hundreds of billions of parameters, which reveal emergent abilities like in-context learning and instruction following. This survey comprehensively reviews LLMs' recent advances across four core areas: pre-training (which requires large, diverse corpora and utilizes Transformer architectures with optimization techniques like 3D parallelism and mixed precision), adaptation tuning (including instruction tuning, alignment tuning via RLHF, and parameter-efficient fine-tuning methods such as LoRA), utilization (emphasizing prompting strategies, in-context learning, chain-of-thought prompting for complex reasoning, and planning mechanisms), and capacity evaluation (covering basic and advanced abilities, benchmarks like MMLU and BIG-bench, and empirical findings that instruction tuning and increased model scale improve performance). Key challenges include hallucination mitigation through alignment and retrieval-augmented generation, handling extremely long contexts via embedding scaling and architectural innovations, and optimizing training with memory-saving methods and quantization. Future directions focus on deeper theoretical understanding, alternative architectures, efficient alignment annotation, robust long-context and retrieval systems, multimodal LLMs, continual learning, and safe, trustworthy AI deployment. Overall, LLMs are revolutionizing AI capabilities and usage, necessitating ongoing research to address efficiency, safety, and scalability concerns and to fully harness their potential."
