Index,Citation
1,"C. Du, K. Fu, and H. He, ""Human-like object concept representations emerge naturally in multimodal large language models,"" Nature Machine Intelligence, vol. 7, no. 6, pp. 548–559, Jun. 2025. [Online]. Available: https://www.nature.com/articles/s42256-025-00435-2"
3,"F. P. Mahner, L. Muttenthaler, and M. N. Hebart, ""Dimensions underlying the representational alignment of deep neural networks with humans,"" Nature Machine Intelligence, vol. 7, no. 6, pp. 575–588, Jun. 2025. [Online]. Available: https://www.nature.com/articles/s42256-025-00437-4"
7,"Y. Zhang, L. Wang, and J. Hu, ""Multimodal Large Language Models for Medical Visual Question Answering: A Survey,"" AI, vol. 4, no. 2, pp. 287–311, 2023. [Online]. Available: https://www.mdpi.com/2673-9541/4/2/287"
8,"M. Liu, X. Chen, and Q. Huang, ""Towards Multimodal Large Language Models: Advances, Challenges, and Opportunities,"" AI, vol. 3, no. 4, pp. 407–420, 2022. [Online]. Available: https://www.mdpi.com/2673-9541/3/4/407"
10,"R. Whitehead, A. Nguyen, and S. Järvelä, ""Utilizing Multimodal Large Language Models for Video Analysis of Posture in Studying Collaborative Learning: A Case Study,"" Journal of Learning Analytics, vol. 12, no. 1, pp. 186–200, 2025. [Online]. Available: https://doi.org/10.18608/jla.2025.8595"
11,"R. AlSaad, A. Abd-alrazaq, S. Boughorbel, A. Ahmed, M.-A. Renault, R. Damseh, and J. Sheikh, ""Multimodal Large Language Models in Health Care: Applications, Challenges, and Future Outlook,"" Journal of Medical Internet Research, vol. 26, 2024, Art. no. e59505. [Online]. Available: https://www.jmir.org/2024/1/e59505/"
13,"J. Wu, W. Gan, Z. Chen, S. Wan, and P. S. Yu, ""Multimodal Large Language Models: A Survey,"" in IEEE BigData 2023, 2023, pp. 1–10. [Online]. Available: https://arxiv.org/abs/2311.13165"
14,"S. Yin, C. Fu, S. Zhao, K. Li, X. Sun, T. Xu, and E. Chen, ""A Survey on Multimodal Large Language Models,"" Nat. Sci. Rev., vol. 11, no. 6, 2023, doi: 10.1093/nsr/nwae403. [Online]. Available: https://arxiv.org/abs/2306.13549"
16,"J. Sublime, ""The AI Race: Why Current Neural Network-based Architectures are a Poor Basis for Artificial General Intelligence,"" Journal of Artificial Intelligence Research, vol. 80, 2024. [Online]. Available: https://jair.org/index.php/jair/article/view/15315"
17,"E. La Malfa, A. Petrov, S. Frieder, C. Weinhuber, R. Burnell, R. Nazar, A. Cohn, N. Shadbolt, and M. Wooldridge, ""Language-Models-as-a-Service: Overview of a New Paradigm and its Challenges,"" Journal of Artificial Intelligence Research, vol. 80, 2024, Aug. 26. DOI: 10.1613/jair.1.15865. [Online]. Available: https://jair.org/index.php/jair/article/view/15865"
