Index,Citation,Summary
1,"C. Du, K. Fu, and H. He, ""Human-like object concept representations emerge naturally in multimodal large language models,"" Nature Machine Intelligence, vol. 7, no. 6, pp. 548–559, Jun. 2025. [Online]. Available: https://www.nature.com/articles/s42256-025-00435-2","Understanding how humans conceptualize natural objects provides insights into cognition, and this study investigates whether Large Language Models (LLMs) and Multimodal LLMs (MLLMs) develop similar object representations. Using 4.7 million triplet similarity judgments on 1,854 natural objects, the authors derived 66-dimensional sparse, non-negative embeddings via the Sparse Positive Similarity Embedding (SPoSE) method. These embeddings closely predict human choice behavior in odd-one-out tasks and exhibit semantic clustering that parallels human conceptual structures. Dimensions include semantic categories (e.g., animals, food) and perceptual features (e.g., hardness, texture), with MLLMs additionally capturing spatial and color attributes. Representational Similarity Analysis demonstrated strong alignment between these model embeddings and neural activity in category-selective brain regions such as EBA, PPA, RSC, and FFA. The results show that while LLM representations are not identical to human ones, they share fundamental semantic and perceptual dimensions reflecting key aspects of human conceptual knowledge. This convergence highlights the potential of multimodal LLMs to form human-like conceptual embeddings that can inform the development of more human-like artificial cognitive systems, advancing understanding in both cognitive neuroscience and AI."
2,"F. P. Mahner, L. Muttenthaler, and M. N. Hebart, ""Dimensions underlying the representational alignment of deep neural networks with humans,"" Nature Machine Intelligence, vol. 7, no. 6, pp. 575–588, Jun. 2025. [Online]. Available: https://www.nature.com/articles/s42256-025-00437-4","This study investigates how deep neural networks (DNNs) align with human cognitive representations by analyzing similarity structures in visual and semantic domains using behavioral data and computational modeling. Representational similarity analysis (RSA) combined with dimensionality reduction techniques like PCA and CCA revealed that alignment is governed by latent dimensions reflecting visual features such as shape and texture in early DNN layers and semantic category membership in higher layers. The variance in alignment explained by these dimensions varies across model architectures and object categories, with models trained on semantic tasks showing stronger semantic alignment, particularly for naturalistic stimuli. Despite this hierarchical alignment, some representational dimensions remain uniquely human and underrepresented in models, pointing to challenges including dataset biases and the complex interplay of semantic versus visual information. The work emphasizes the need for multimodal, context-aware models and enriched behavioral datasets to better capture human representational complexity, ultimately contributing insights toward more human-like AI systems."
3,"R. Whitehead, A. Nguyen, and S. Järvelä, ""Utilizing Multimodal Large Language Models for Video Analysis of Posture in Studying Collaborative Learning: A Case Study,"" Journal of Learning Analytics, vol. 12, no. 1, pp. 186–200, 2025. [Online]. Available: https://doi.org/10.18608/jla.2025.8595","Incorporating non-verbal data streams is crucial for understanding interaction dynamics in collaborative learning environments, yet their complexity, especially when gathered in the wild, requires advanced analysis methods. The study addresses this by exploring how multimodal large language models (MLLMs), empowered by generative AI, can be utilized for feature extraction of postural behavior within multimodal learning analytics. Using a case study of 52 pre-service teachers in a physics-based collaborative task, the research demonstrates the potential of MLLMs to efficiently process complex non-verbal data. This integration of generative AI into learning research opens new avenues for deeply understanding and enhancing collaborative learning interactions."
4,"R. AlSaad, A. Abd-alrazaq, S. Boughorbel, A. Ahmed, M.-A. Renault, R. Damseh, and J. Sheikh, ""Multimodal Large Language Models in Health Care: Applications, Challenges, and Future Outlook,"" Journal of Medical Internet Research, vol. 26, 2024, Art. no. e59505. [Online]. Available: https://www.jmir.org/2024/1/e59505/","The paper presents a comprehensive review of multimodal large language models (M-LLMs) in health care, highlighting their potential to integrate diverse medical data typessuch as images, time-series data, audio, text, videos, and omics datato enhance clinical decision-making. It outlines foundational principles including modality-specific encoders, embedding alignment, cross-modal interaction, and pretraining/fine-tuning approaches. The review covers practical applications like CONCH, a vision-language model for pathology, and discusses significant technical challenges such as complex data fusion, large dataset requirements, computational scalability, and interpretability, along with ethical concerns including bias, informed consent, privacy, and safety. Proposed solutions involve advanced fusion methods, synthetic data and federated learning, parameter-efficient tuning, interpretability frameworks, diversified and bias-mitigated data, improved patient communication, privacy safeguards, and dynamic ethical alignment. Future directions emphasize generating multimodal outputs beyond text, establishing domain-specific benchmarks, evolving temporal explainability, improving interoperability in hospital systems, developing regulatory frameworks, and fostering multidisciplinary collaboration. The paper argues that M-LLMs mark a paradigm shift toward integrated, data-driven medical AI capable of improving diagnosis, treatment, and operational efficiency, but stresses the need for ongoing research, ethical oversight, and practical clinical evaluation to realize their transformative promise safely and equitably."
5,"J. Wu, W. Gan, Z. Chen, S. Wan, and P. S. Yu, ""Multimodal Large Language Models: A Survey,"" in IEEE BigData 2023, 2023, pp. 1–10. [Online]. Available: https://arxiv.org/abs/2311.13165","This paper surveys multimodal large language models (MLLMs), which integrate diverse data types such as images, text, audio, and video to overcome the limitations of traditional text-based large language models. It covers fundamental concepts, historical development, major products, and technical architectures including foundation models like vision and audio transformers, multimodal fusion techniques such as early fusion, late fusion, and cross-modal attention, as well as training strategies like multitask learning and contrastive learning. The survey reviews performance gains demonstrated in tasks including image captioning, visual question answering, and audio-visual speech recognition, highlighting advances from cross-modal attention and instruction tuning. Challenges addressed include the scarcity of large annotated multimodal datasets, computational demands, modality alignment complexities, evaluation difficulties, and ethical issues including bias and privacy. Future directions emphasize unified architectures, improved self-supervised learning, model efficiency, cross-disciplinary inspirations, interpretability, and ethical AI development. Overall, MLLMs represent a promising frontier in AI, enabling richer multimodal understanding and generation with broad applications, but requiring continued research to address existing challenges and responsibly harness their potential."
6,"S. Yin, C. Fu, S. Zhao, K. Li, X. Sun, T. Xu, and E. Chen, ""A Survey on Multimodal Large Language Models,"" Nat. Sci. Rev., vol. 11, no. 6, 2023, doi: 10.1093/nsr/nwae403. [Online]. Available: https://arxiv.org/abs/2306.13549","The paper ""A Survey on Multimodal Large Language Models"" presents a comprehensive overview of recent developments in MLLMs, which integrate large language models with multiple data modalities such as images, audio, and video. It surveys foundational architectures categorized into single-stream, dual-stream, and modular types, including models like Flamingo, PaLM-E, and GPT-4, highlighting their trade-offs in performance and scalability. The training methodologies discussed encompass joint multimodal pretraining, sequential fine-tuning, and instruction tuning, utilizing combined loss functions that mix language modeling with contrastive or reconstruction losses tailored to vision and audio data. Diverse evaluation benchmarksranging from VQA to image captioning and audio classificationare examined alongside metrics like accuracy, BLEU, METEOR, CIDEr, and retrieval recall, with attention to challenges in reasoning and cross-modal generalization. The paper addresses the critical issue of multimodal hallucination, classifying its types, proposing detection and mitigation techniques such as data curation, calibration, and human feedback alignment. Advanced techniques including prompt tuning, multimodal chain-of-thought reasoning, and knowledge injection are reviewed, while core challenges like scalability, data scarcity, cross-modal alignment, robustness, and interpretability are detailed. Future directions emphasize enhanced multimodal reasoning, commonsense integration, expanded modality support, spatiotemporal benchmarks, hallucination reduction, and efficient training approaches. The survey concludes by underscoring the transformative potential of MLLMs and the necessity for interdisciplinary collaboration to advance the design and deployment of future multimodal AI systems."
7,"J. Sublime, ""The AI Race: Why Current Neural Network-based Architectures are a Poor Basis for Artificial General Intelligence,"" Journal of Artificial Intelligence Research, vol. 80, 2024. [Online]. Available: https://jair.org/index.php/jair/article/view/15315","Artificial General Intelligence (AGI), the concept of an AI surpassing human intellect, remains elusive despite rapid advances in deep learning and neural networks that excel at specialized tasks such as image recognition and natural language processing. This paper analyzes why current deep neural network architecturesincluding deep feedforward networks, recurrent networks, and transformersare inherently limited for AGI due to poor compositional generalization, brittleness outside training distributions, interpretability challenges, and scalability issues. Through literature review, theoretical analysis, and empirical evidence from benchmark tasks, it reveals failures in abstraction and learning efficiency critical for AGI. The discussion highlights that purely statistical pattern recognition lacks essential cognitive faculties, advocating for symbolic reasoning, explicit knowledge structures, and meta-learning as necessary complements. Identified challenges include overcoming entangled representations, ensuring robustness, achieving incremental learning without catastrophic forgetting, and bridging symbolic and sub-symbolic methods. Future directions emphasize hybrid neuro-symbolic architectures, cognitive theory-inspired models, meta-learning, and lifelong learning frameworks, arguing for a paradigm shift from mere scaling to incorporating reasoning, abstraction, and transparency. The conclusion stresses that despite successes, neural networks alone are insufficient bases for AGI, urging interdisciplinary, conceptual innovation over incremental scaling to realize true general intelligence."
8,"E. La Malfa, A. Petrov, S. Frieder, C. Weinhuber, R. Burnell, R. Nazar, A. Cohn, N. Shadbolt, and M. Wooldridge, ""Language-Models-as-a-Service: Overview of a New Paradigm and its Challenges,"" Journal of Artificial Intelligence Research, vol. 80, 2024, Aug. 26. DOI: 10.1613/jair.1.15865. [Online]. Available: https://jair.org/index.php/jair/article/view/15865","The paper addresses the emerging paradigm of Language-Models-as-a-Service (LMaaS), where state-of-the-art proprietary language models are accessed remotely via API rather than local deployment. While this model provides scalability, ease of use, and maintenance benefits, it introduces challenges in transparency, reproducibility, reliability, and trustworthiness due to limited access to model internals. The authors systematically analyze issues related to benchmarking, evaluation, data privacy, and intellectual property, highlighting how the black-box nature of LMaaS complicates performance assessment and user control. They review current services, licensing schemes, and technical architectures, and emphasize risks of vendor lock-in and ethical concerns over user data and model updates. Concluding that LMaaS heralds a shift in AI deployment, the paper advocates for future work on privacy-preserving mechanisms, explainability tools, standardized black-box benchmarks, and regulatory frameworks to ensure transparent, accountable, and sustainable LMaaS ecosystems. The study integrates technical, legal, and ethical dimensions and provides synthesized tables of LMaaS licenses and architectural diagrams to support its comprehensive overview."
9,"P. Moschoula, P. Singh, A. Chakraborty, Y. Oruganti, M. Milletari, S. Bapat, and K. Jiang, ""The RL/LLM Taxonomy Tree: Reviewing Synergies Between Reinforcement Learning and Large Language Models,"" Journal of Artificial Intelligence Research, vol. 80, 2024, Aug. 26. DOI: 10.1613/jair.1.15960. [Online]. Available: https://jair.org/index.php/jair/article/view/15960","This paper presents a comprehensive taxonomy, termed the RL/LLM Taxonomy Tree, categorizing methods and research directions at the intersection of reinforcement learning (RL) and large language models (LLMs). It systematically reviews state-of-the-art techniques such as RL fine-tuning of LLMs with methods like RLHF and PPO, LLMs as RL agents performing sequential decision making, and hybrid frameworks integrating multimodal inputs. The taxonomy serves to structure the rapidly evolving field by delineating branchesRL for LLMs, LLMs for RL, and hybrid systemsbased on interaction style, training objectives, and applications. Key results demonstrate improved model alignment and multi-step reasoning capabilities, though challenges remain in sample inefficiency, reward design complexity, interpretability, scalability, and safety concerns. Future directions focus on developing sample-efficient RL algorithms, novel reward modeling, integration of symbolic reasoning, scalable hardware, lifelong learning paradigms, and ethical safeguards. The work offers critical insights and a roadmap to advance synergy between RL and large-scale language modeling, aiming to foster innovation and collaboration across disciplines."
10,"N. Pontikos, W. A. Woof, and M. Michaelides, ""Next-generation phenotyping of inherited retinal diseases from multimodal imaging with Eye2Gene,"" Nature Machine Intelligence, vol. 7, no. 6, pp. 594–608, Jun. 2025. [Online]. Available: https://www.nature.com/articles/s42256-025-01040-8","Rare inherited retinal diseases (IRDs), which are a leading cause of childhood and working-age blindness, pose challenges for timely genetic diagnosis critical for effective treatment. The authors present Eye2Gene, a deep learning algorithm trained on a large multimodal dataset (n = 2,451 patients, 63 gene classes) comprising fundus autofluorescence (FAF), infrared (IR), and spectral-domain optical coherence tomography (SD-OCT) images. Eye2Gene integrates predictions from modality-specific CoAtNet0 convolutional neural networks, employing ensemble averaging and weighted cross-entropy loss to address data imbalance, achieving a top-five gene prediction accuracy of 83.9% across internal and external validations from five international centers. This performance surpasses eight expert ophthalmologists tested on FAF images (29.5% top-five accuracy versus Eye2Gene's 76%). Eye2Gene also improves gene prioritization compared to Human Phenotype Ontology-based methods in 75% of a 130-patient cohort. Visualization of penultimate network layer embeddings using UMAP reveals clustering consistent with genotype and phenotype similarity, including for genes unseen during training, facilitating novel gene-phenotype discovery. Additionally, a binary classifier discriminates IRD from similar non-genetic retinal conditions with AUROC of 0.98. Interpretability is enhanced with attention maps highlighting image regions influencing predictions. Limitations include a bias toward common genes (63 of ~281 known IRD genes) and comparison with experts limited to images without clinical context. The tool is accessible online for research (app.eye2gene.com) and aims to augment genetic testing workflows by accelerating diagnosis, variant prioritization, and expanding phenotype-driven gene discovery. Eye2Gene exemplifies AI's translational potential in precision medicine for rare retinal disorders, with future work planned to expand gene coverage, incorporate federated learning, and augment training datasets to address rare genes and ancestry diversity."
11,"G. Feretzakis, A. Rivas, S. D. Georgakopoulos, and S. Mitrokotsa, ""Trustworthy AI: Securing Sensitive Data in Large Language Models,"" AI, vol. 5, no. 4, p. 134, 2024. [Online]. Available: https://www.mdpi.com/2673-2688/5/4/134","This paper introduces a comprehensive framework to embed trust mechanisms into Large Language Models (LLMs) for securing sensitive data by controlling disclosure dynamically based on user trust profiles and data sensitivity. It consists of three interconnected modules: User Trust Profiling, Information Sensitivity Detection, and Adaptive Output Control. The User Trust Profiling module combines Role-Based Access Control (RBAC) and Attribute-Based Access Control (ABAC) to assign dynamic trust scores based on credentials, behavior, and context. Information Sensitivity Detection employs Named Entity Recognition (NER) enhanced with domain-specific dictionaries and semantic analysis to identify sensitive information with over 92% accuracy. Adaptive Output Control then modulates response detail using differential privacy, redaction, and summarization to balance information utility and privacy. Experimental evaluation in healthcare and finance showed accurate trust-based disclosure control, minimal latency increase (<12%), and improved privacy compliance. Challenges include accurate real-time trust estimation, handling ambiguous or emerging sensitive data, and minimizing computational overhead. Future work aims to enhance trust modeling with machine learning, extend sensitivity detection to multi-modal inputs, optimize differential privacy parameters contextually, and develop explainability features. Overall, the framework provides a pioneering dynamic, privacy-preserving approach for trustworthy LLM deployments in critical regulated domains, combining RBAC, ABAC, NER, semantic analysis, and differential privacy to secure sensitive data while maintaining utility."
