Index,Citation
1,"[1] A. Kusiak, ""Generative artificial intelligence in smart manufacturing,"" Journal of Intelligent Manufacturing, vol. 36, pp. 1–3, Jan. 2025. Available: https://doi.org/10.1007/s10845-024-02480-6"
2,"[2] O. Mata, P. Ponce, C. Perez, M. Ramirez, B. Anthony, B. Russel, P. Apte, B. MacCleery, and A. Molina, ""Digital twin designs with generative AI: crafting a comprehensive framework for manufacturing systems,"" Journal of Intelligent Manufacturing, vol. 36, 2025. https://doi.org/10.1007/s10845-025-02583-8"
3,"[3] H. A. Zhou, D. Wolfschläger, and R. H. Schmitt, ""Generative AI in industrial machine vision: a review,"" Journal of Intelligent Manufacturing, vol. 36, no. 4, Apr. 2025. Available: https://doi.org/10.1007/s10845-025-02604-6"
4,"[1] L. Bai, B. Wu, G. Wu, and H. Li, ""Real-time tool breakage monitoring based on dimensionless indicators under time-varying cutting conditions,"" *International Journal of Machine Tools & Manufacture*, vol. 183, pp. 104336, 2023. Available: https://www.sciencedirect.com/science/article/abs/pii/S0736584522001843"
5,"[3] K. Ullrich, M. von Elling, K. Gutzeit, M. Dix, M. Weigold, J.C. Aurich, and F. Kirchner, ""AI-based optimisation of total machining performance: A review,"" *International Journal of Machine Tools & Manufacture*, vol. 190, pp. 104529, 2024. Available: https://www.sciencedirect.com/science/article/pii/S1755581724000105"
6,"[1] M. Ghobakhloo, ""Opportunities for actualizing Industry 5.0 sustainability goals: How generative artificial intelligence enhances responsible manufacturing,"" Journal of Manufacturing Technology Management, vol. ahead-of-print, 2024. [Online]. Available: https://dx.doi.org/10.1108/JMTM-12-2023-0530"
7,"[2] R. Pugliese, ""Generative Artificial Intelligence for Advancing Discovery, Design, and Optimization of Biomaterials,"" iComputing, vol. ahead-of-print, 2025. [Online]. Available: https://spj.science.org/doi/10.34133/icomputing.0117"
8,"[3] J. F. Arinez, ""Artificial Intelligence in Advanced Manufacturing: Current Status and Future Directions,"" Journal of Manufacturing Science and Engineering, vol. 142, no. 11, pp. 110804, 2020. [Online]. Available: https://asmedigitalcollection.asme.org/manufacturingscience/article/142/11/110804/1085487/Artificial-Intelligence-in-Advanced-Manufacturing"
9,"[1] M. Klar, P. Ruediger, and M. Schuermann, ""Explainable generative design in manufacturing for reinforcement learning based factory layout planning,"" Journal of Manufacturing Systems, vol. 72, pp. 95–114, 2023. [Online]. Available: https://www.sciencedirect.com/journal/journal-of-manufacturing-systems/vol/72/suppl/C"
10,"[3] M. Sandborn, et al., ""CaSTL: Towards cyber-physical authentication of additively manufactured components using generative steganography,"" Journal of Manufacturing Systems, vol. 61, pp. 352–367, 2022. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S1877050921025588"
