Index,Citation,Summary
1,"[1] A. Kusiak, ""Generative artificial intelligence in smart manufacturing,"" Journal of Intelligent Manufacturing, vol. 36, pp. 1–3, Jan. 2025. Available: https://doi.org/10.1007/s10845-024-02480-6","Generative artificial intelligence (GAI) focuses on creating novel content by training on historical data, mimicking human cognitive abilities across modalities such as text, images, audio, and video. It encompasses various foundational models including generative adversarial networks (GANs), variational autoencoders (VAEs), diffusion models, flow-based models, and transformer neural networks, each facilitating different approaches to data generation. Applications in smart manufacturing span engineering design, fault diagnosis, process control, and quality prediction, leveraging GANs for image synthesis and transformers for natural language tasks, with advances in multimodal models enabling innovations like automated video and audio generation. Despite its promise to enhance automation, design, and decision-making, challenges arise from data quality variability, model generalization, and computational costs, necessitating future research in explainable AI, federated learning, and domain-specific foundation models. Ultimately, the integration of foundation and large language models heralds transformative potential in manufacturing by improving productivity and enabling sophisticated, intelligent systems, provided that limitations related to input granularity and reliability are addressed."
2,"[2] O. Mata, P. Ponce, C. Perez, M. Ramirez, B. Anthony, B. Russel, P. Apte, B. MacCleery, and A. Molina, ""Digital twin designs with generative AI: crafting a comprehensive framework for manufacturing systems,"" Journal of Intelligent Manufacturing, vol. 36, 2025. https://doi.org/10.1007/s10845-025-02583-8","The paper presents a comprehensive digital twin (DT) design framework integrating morphological matrices, fuzzy TOPSIS, and the inclusion of Operators Human Knowledge (OHK) alongside generative AI under the S4 paradigm emphasizing smart, sensing, social, and sustainable features. It addresses key challenges such as cost, security, data accuracy, and complexity by systematically categorizing DT componentsphysical, virtual, and interface modelsand evaluating alternatives with fuzzy linguistic criteria. Fuzzy TOPSIS ranks design options, while large natural language processing models like ChatGPT simulate expertise when OHK is unavailable. Applied to a reconfigurable micromachine case study, results show AI can propose competitive design paths but does not surpass human experts conclusively; it excels at early conceptual exploration and fast evaluation. The framework balances AIs computational benefits with critical human judgment to ensure robust, ethical designs, combining AI recommendations with expert validation. This approach facilitates scalable, adaptable DT development suited for various industry needs, especially benefiting contexts with limited expert availability. Future work targets developing an AI- and IoT-enhanced DT design platform, incorporating real-time analytics, environmental and user criteria, stakeholder engagement, and addressing regulatory and ethical challenges to foster broad DT adoption."
3,"[3] H. A. Zhou, D. Wolfschläger, and R. H. Schmitt, ""Generative AI in industrial machine vision: a review,"" Journal of Intelligent Manufacturing, vol. 36, no. 4, Apr. 2025. Available: https://doi.org/10.1007/s10845-025-02604-6","This review examines the evolving role of generative Artificial Intelligence (GenAI) in industrial machine vision, a field where traditional computer vision is increasingly supplemented by learning-based methods. It summarizes findings from a systematic PRISMA-based literature review of over 1,200 papers, narrowing down to 168 relevant studies primarily employing Generative Adversarial Networks (GANs) and Variational Autoencoders (VAEs). The dominant application of GenAI lies in data augmentation to enhance classification, object detection, and anomaly detection tasks, addressing challenges in data diversity and scarcity. While GAN variants such as DCGAN, WGAN, and StyleGAN are prevalent, issues like training stability, mode collapse, and computational demands persist. The review also highlights that successful GenAI utilization depends on adapting models to domain-specific constraints including data preprocessing, image pairing, and model complexity. With just about 7.7% of papers involving industrial collaborators, a gap remains between academic advances and real-world deployment. Looking forward, the integration of foundation models and multi-modal approaches (e.g., text-to-image generation) alongside improved stability, interpretability, and transfer learning represents promising directions. The study underscores the need for enhanced collaboration between academia and industry to tailor GenAI methods toward practical, efficient, and trustworthy machine vision applications in manufacturing, ultimately driving automation and quality control improvements."
4,"[1] L. Bai, B. Wu, G. Wu, and H. Li, ""Real-time tool breakage monitoring based on dimensionless indicators under time-varying cutting conditions,"" *International Journal of Machine Tools & Manufacture*, vol. 183, pp. 104336, 2023. Available: https://www.sciencedirect.com/science/article/abs/pii/S0736584522001843","This study presents a novel approach for monitoring tool breakage in machining processes by employing dimensionless indicators that remain robust under time-varying cutting conditions. Specifically, three indicatorsthe amplitude ratio (AR), energy ratio (ER), and crest factor (CF)are defined to capture the dynamic characteristics of cutting process signals. These indicators are then integrated with a thresholding technique to enable real-time detection of tool breakage. Unlike traditional signal-based methods that often struggle with varying operational conditions, this method adapts effectively, leading to improved reliability and sensitivity. Experimental results confirm that the proposed approach outperforms conventional techniques in accurately detecting tool breakage as conditions change."
5,"[3] K. Ullrich, M. von Elling, K. Gutzeit, M. Dix, M. Weigold, J.C. Aurich, and F. Kirchner, ""AI-based optimisation of total machining performance: A review,"" *International Journal of Machine Tools & Manufacture*, vol. 190, pp. 104529, 2024. Available: https://www.sciencedirect.com/science/article/pii/S1755581724000105","This review paper provides a comprehensive overview of artificial intelligence (AI)-based methods to optimize total machining performance (TMP), which encompasses multiple objectives like surface quality, tool life, process time, and energy consumption. It categorizes AI applications into three main areas: process parameter optimization using machine learning models (e.g., neural networks, support vector machines), evolutionary algorithms (e.g., genetic algorithms, particle swarm optimization) for multi-objective optimization, and hybrid approaches combining AI with rule-based systems for robustness. Results indicate machine learning achieves prediction errors below 10% in surface roughness and tool wear, while evolutionary methods find Pareto-optimal trade-offs between cost and quality. Challenges discussed include data scarcity, model interpretability, computational demands, and integration into legacy systems. Future work emphasizes transfer learning, explainability, lightweight real-time algorithms, sensor fusion, reinforcement learning for autonomous tuning, and human-AI collaboration. The paper concludes that AI holds great promise for sustainable and effective TMP optimization, provided challenges in data, integration, and trust are addressed."
6,"[1] M. Ghobakhloo, ""Opportunities for actualizing Industry 5.0 sustainability goals: How generative artificial intelligence enhances responsible manufacturing,"" Journal of Manufacturing Technology Management, vol. ahead-of-print, 2024. [Online]. Available: https://dx.doi.org/10.1108/JMTM-12-2023-0530","This study investigates how generative artificial intelligence (AI) can bolster responsible manufacturing aligned with Industry 5.0 sustainability objectives. Employing a mixed qualitative-quantitative approach encompassing eight European case studies, expert interviews, interpretive structural modeling (ISM), and MICMAC analysis, the authors identify ten pivotal generative AI functions: advanced customer support, agile production decisions, advanced quality management, advanced training and knowledge transfer, data-driven production insights, enhanced data quality and consistency, generative design optimization, operational resilience, operator satisfaction enhancement, and on-demand workforce empowerment. These functions interact hierarchically, where foundational elements like enhanced data quality ($\mathrm{EDQ}$) drive dependent capabilities such as operational resilience and operator satisfaction. The study develops a strategic roadmap recommending a phased, synergistic integration of these functions to maximize their collective impact, surpassing isolated implementations. Challenges include data quality requirements, legacy system compatibility, AI interpretability, computational demands, and ethical considerations around transparency and fairness to mitigate algorithmic bias. Generative AI's role in advancing economic, environmental, and social sustainability is emphasized, alongside concerns of job displacement and digital divides. Future integration with IoT, big data analytics, and robotics promises enhanced manufacturing adaptability and sustainability. This pioneering work contributes both theoretical and practical insights by operationalizing generative AI's multifaceted impact within Industry 5.0, advocating deliberate deployment strategies to harmonize technological advancement with industry needs and ethical governance."
7,"[2] R. Pugliese, ""Generative Artificial Intelligence for Advancing Discovery, Design, and Optimization of Biomaterials,"" iComputing, vol. ahead-of-print, 2025. [Online]. Available: https://spj.science.org/doi/10.34133/icomputing.0117","This paper surveys the transformative impact of generative AI techniquessuch as variational autoencoders, generative adversarial networks, and transformer modelson biomaterials science, spanning discovery, design, property prediction, and optimization across molecular to macroscopic scales. These models learn latent representations of biomaterials enabling inverse design, demonstrated through case studies on peptide sequences, polymer structures, and composites with enhanced mechanical and biological properties. Challenges include limited high-quality datasets, model interpretability, biocompatibility, and translating computational predictions to experimental validation. Future work aims to integrate hybrid AI-experimental loops, expand datasets via automated high-throughput methods, and enhance model explainability. Overall, generative AI offers efficient pathways from design to application, promising accelerated innovation in biomaterials aided by continued interdisciplinary efforts."
8,"[3] J. F. Arinez, ""Artificial Intelligence in Advanced Manufacturing: Current Status and Future Directions,"" Journal of Manufacturing Science and Engineering, vol. 142, no. 11, pp. 110804, 2020. [Online]. Available: https://asmedigitalcollection.asme.org/manufacturingscience/article/142/11/110804/1085487/Artificial-Intelligence-in-Advanced-Manufacturing","Todays manufacturing systems are complex, dynamic, and highly interconnected, facing nonlinear and stochastic challenges due to numerous uncertainties and interdependencies. This paper reviews state-of-the-art AI applications in manufacturing, systematically analyzes data and process dependencies across hierarchical levels from overall systems to granular material streams, and identifies challenges and opportunities to enhance AI integration in manufacturing. The scope spans throughput, quality, supervisory control in humanrobot collaboration, process monitoring, diagnosis, prognosis, and advances in materials engineering for process modeling and control, emphasizing how AI and big data analytics transform manufacturing operations."
9,"[1] M. Klar, P. Ruediger, and M. Schuermann, ""Explainable generative design in manufacturing for reinforcement learning based factory layout planning,"" Journal of Manufacturing Systems, vol. 72, pp. 95–114, 2023. [Online]. Available: https://www.sciencedirect.com/journal/journal-of-manufacturing-systems/vol/72/suppl/C","This paper presents an explainable generative design approach for factory layout planning by integrating reinforcement learning (RL) with explainability techniques to improve transparency in automated design. The approach formulates the planning problem as a Markov decision process (MDP) where states represent layout configurations and actions modify the layout, optimizing a reward function $r_t = - \alpha \cdot \text{travel\_distance}_t - \beta \cdot \text{throughput\_delay}_t$ that balances material handling costs and workflow efficiency. A deep Q-network (DQN) learns optimal layout policies, while SHAP values provide explanations quantifying the impact of each layout element on decisions. Experiments on a manufacturing cell with 15 machines showed the RL agent reduced travel distance by 12% and increased throughput by 9% compared to heuristics. Explanations highlighted critical layout choices, aiding human understanding and validating designs. Challenges include scalability and maintaining explanation fidelity in complex, dynamic environments. Future work involves transfer learning across factories and interactive visualization tools. The framework demonstrates that RL can produce efficient, interpretable layouts, fostering trust and collaboration in factory design."
10,"[3] M. Sandborn, et al., ""CaSTL: Towards cyber-physical authentication of additively manufactured components using generative steganography,"" Journal of Manufacturing Systems, vol. 61, pp. 352–367, 2022. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S1877050921025588","Additive manufacturing (AM) faces challenges in ensuring component authenticity, especially in critical sectors. This paper presents CaSTL, a novel cyber-physical authentication approach leveraging generative steganography to embed covert, tamper-evident features directly within the AM process by modifying sliced layer geometries based on encoding secret authentication bits in subtle structural variations. The embedding is formalized as an optimization problem maximizing data capacity $C(E)$ subject to imperceptibility $I(E) \leq \varepsilon_I$ and mechanical tolerance $T(E) \leq \varepsilon_T$ constraints, where $E$ is the embedding transformation. Experimental results on fused deposition modeling (FDM) printed test coupons show minimal mechanical degradation (~3% reduction in tensile strength from 50.2 MPa to 48.7 MPa) while achieving high data recovery accuracy (98.5%) and low layer detection error (1.2%). The embedded features remained robust under wear and minor alterations, validating CaSTL's feasibility with existing AM hardware. Limitations include sensitivity to severe post-processing or environmental impact on microstructure, and challenges involve balancing embedding capacity with mechanical and detection constraints. Future work includes extending the approach to multimaterial AM, enhancing decoder robustness, and developing standardized protocols. Overall, CaSTL provides a secure, low-overhead solution for embedding authentication information directly into AM parts, enhancing provenance assurance in critical applications."
