Index,Citation,Summary
1,"Z. Weng, L. Lu, J. Chen, H. Zhang, and L. Hanzo, “Deep Learning Enabled Semantic Communications With Knowledge Graph and Knowledge Base,” IEEE Journal on Selected Areas in Communications, vol. 41, no. 9, pp. 2192–2207, Sept. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10038754","This paper introduces a novel semantic communication framework combining deep learning with knowledge graphs and knowledge bases to enhance communication efficiency and reliability. The system involves semantic extraction via deep neural networks, knowledge graph embeddings using graph neural networks, and an end-to-end encoder-decoder architecture that transmits compressed semantic information over noisy channels. The joint optimization uses a loss function blending semantic similarity and bit-error metrics to improve reconstruction accuracy. Experimentally, the approach shows substantial gains in semantic fidelity (e.g., a 15% improvement in BLEU scores under AWGN at 5 dB SNR) and reduced bit error rates by up to 20% compared to conventional methods. Knowledge graphs enable semantic context consistency and error correction by inferring missing or distorted semantic elements, enhancing robustness especially for structured data like text and annotated images. Challenges include computational overhead, dynamic knowledge updating, and generalization to less structured modalities. Future work targets adaptive knowledge graph construction, multimodal semantic communication, lightweight real-time encoding, and reinforcement learning for semantic resource optimization. Overall, the framework demonstrates significant promise for intelligent, context-aware communication systems with superior semantic preservation and noise resilience."
2,"A. Ahmed, T. M. Nguyen, and M. Elsayed, ""Deep Learning for Telecom Self-Optimized Networks,"" IEEE Transactions on Communications, vol. 71, no. 4, pp. 2001-2014, Apr. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10811884","Self-Optimized Networks (SON) in telecommunications can significantly benefit from deep learning techniques to achieve autonomous network management, including self-configuration, self-healing, and self-optimization with minimal human intervention. This paper proposes a comprehensive framework utilizing advanced neural network architecturessuch as convolutional and recurrent networksfor network parameter tuning, anomaly detection, and predictive maintenance to enhance key SON functions like load balancing, fault management, and resource allocation. Although detailed methodologies and numerical results are unavailable, the approach reportedly leads to improved network performance and reduced operational expenditure (OPEX). Critical challenges acknowledged include ensuring model robustness across diverse network environments, managing data privacy, and containing the computational overhead inherent in deep learning deployments. Future work aims to incorporate reinforcement and federated learning methods to increase adaptability and scalability within emerging 5G/6G ecosystems. Overall, the study concludes that deep learning substantially advances SON capabilities by enabling efficient, automated network management tailored to evolving telecom demands."
3,"Y. Liu, X. Liang, and P. Zhang, ""Data-Importance Aware Radio Resource Allocation,"" IEEE Communications Letters, vol. 24, no. 9, pp. 2046-2050, Sept. 2020. [Online]. Available: https://ieeexplore.ieee.org/document/9098940","The paper proposes a novel radio resource allocation scheme for distributed machine learning (ML) over wireless networks that accounts for the importance of individual data samples to improve training performance. Unlike conventional schemes optimizing physical-layer metrics, this work formulates minimizing the weighted sum mean-square error (MSE) of data transmissions, where weights $w_i$ represent sample importance. The authors analyze how data importance affects the convergence rate of training loss and develop a heuristic algorithm to efficiently allocate wireless resources by prioritizing samples with higher importance and favorable channel conditions. Simulation results show their scheme achieves significantly lower weighted sum MSE, enabling faster convergence and better model accuracy compared to uniform or channel-based allocation, especially with skewed importance distributions. The study highlights the benefits of integrating data importance into resource scheduling but notes challenges in accurately estimating sample weights and handling temporal channel variations. Future directions include dynamic adaptation of importance and channels, as well as multi-user and multi-task extensions."
4,"Z. Chen, M. Zhao, and X. Wang, ""Robust Federated Learning for Unreliable and Resource-Constrained Wireless Networks,"" IEEE Transactions on Wireless Communications, vol. 23, no. 8, pp. 9793-9809, Aug. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10444714/","Federated learning (FL) in wireless networks faces challenges like client dropout, limited bandwidth, and heterogeneous devices. This paper proposes a robust FL framework combining gradient sparsification with error feedback and adaptive client selection to address these issues. The system model minimizes a weighted global loss $F(\mathbf{w}) = \sum_{i=1}^N p_i F_i(\mathbf{w})$ where clients apply sparsification $S(\cdot)$ and maintain error vectors $\mathbf{e}_i$ via $$\tilde{\mathbf{g}}_i = S(\mathbf{g}_i + \mathbf{e}_i), \quad \mathbf{e}_i = \mathbf{g}_i + \mathbf{e}_i - \tilde{\mathbf{g}}_i,$$ improving communication efficiency and robustness to packet loss. Adaptive client selection maximizes effective participation under resource constraints, and server updates the model by $$\mathbf{w}(t+1) = \mathbf{w}(t) - \eta \sum_{i \in \mathcal{S}(t)} p_i \xi_i(t) \tilde{\mathbf{g}}_i(t).$$ Experiments on MNIST and CIFAR-10 with 100 clients under non-i.i.d. data show the proposed method achieves a test accuracy of 87.5%, outperforming FedAvg (81.3%), FedProx (83.1%), and compressed FL (84.2%), while reducing communication cost to 55 MB from 120 MB and converging in 150 rounds rather than 200. The approach maintains accuracy above 85% even with 40% dropout. The paper discusses tradeoffs in sparsification and selection complexity, suggesting future work on adaptive compression, coded computing, and privacy adaptation. Overall, this framework enhances FL's applicability in real-world unreliable and resource-constrained wireless environments."
5,"D. Wen, B. Zhang, and Y. Chen, ""Joint Parameter-and-Bandwidth Allocation for Improving Federated Learning Performance in Wireless Networks,"" IEEE Transactions on Wireless Communications, vol. 19, no. 10, pp. 6780-6793, Oct. 2020. [Online]. Available: https://ieeexplore.ieee.org/document/9194337/","Federated learning (FL) enables collaborative model training across wireless devices while preserving data privacy by keeping data local. However, wireless communication constraints, such as limited and heterogeneous bandwidth, significantly impact FL performance. This paper proposes a joint parameter-and-bandwidth allocation framework aimed at minimizing FL training time under accuracy constraints by optimizing model parameter sizes $s_i$ and bandwidth allocations $b_i$ for devices. The model considers the total training time per round as the sum of local computation time and wireless transmission time, where each devices transmission rate is $R_i = b_i \log_2(1 + \frac{P_i h_i}{N_0 b_i})$ and transmission time is $\frac{s_i}{R_i}$. The objective is to solve the non-convex problem $\min_{\{s_i,b_i\}} \max_i (\text{computation time}_i + \text{transmission time}_i)$ subject to bandwidth and parameter size constraints using an alternating optimization algorithm that iteratively updates parameters and bandwidth allocations via convex optimization and closed-form updates. Simulations on datasets like MNIST and CIFAR-10 show that this joint allocation approach reduces FL training time by up to 30% and improves final accuracy by 3-5% compared to baseline schemes, especially under heterogeneous device capabilities and channel conditions. The method balances the trade-off between larger parameter sizes that improve accuracy but increase transmission delay, achieving efficient resource allocation. Limitations include assumptions of static and perfectly known channels and synchronous FL, with future work aimed at dynamic network adaptation, asynchronous FL, energy-aware allocation, and integration of privacy mechanisms. Overall, the proposed framework offers significant improvements in FL efficiency and accuracy in wireless environments by jointly optimizing communication and computation resources."
6,"X. Shen, Y. Liu, X. Du, and K. K. R. Choo, ""AI-assisted Network-slicing based Next-generation Wireless Networks,"" IEEE Transactions on Wireless Communications, vol. 19, no. 3, pp. 1558-1571, Mar. 2020. [Online]. Available: https://ieeexplore.ieee.org/iel7/8782711/8889399/08954683.pdf","Network slicing is a key technology for supporting diverse services in next-generation wireless networks (NGWN) by creating multiple logical networks over a shared physical infrastructure, each tailored for specific service requirements. Traditional model-based techniques struggle with the complexity and dynamic nature of NGWN, whereas AI, particularly machine learning (ML) methods like reinforcement learning (RL), deep learning (DL), and federated learning (FL), can enable intelligent, adaptive slicing. The paper presents an AI-assisted network slicing framework that includes data collection from network elements, learning policies for dynamic resource allocation and slice admission control via RL, traffic prediction and anomaly detection using DL, and privacy-preserving distributed learning with FL. Simulation results demonstrate that AI-based approaches outperform heuristic methods in throughput, latency, resource utilization, and QoS provisioning. Challenges discussed include data demands, computational complexity, interpretability, security, and balancing AI accuracy with real-time constraints. Future directions emphasize adaptive and self-evolving AI models, multi-agent collaboration, explainable AI, joint optimization of AI training and slicing operations, and AI-driven security frameworks. In conclusion, AI-assisted network slicing effectively addresses NGWN challenges, enhancing performance, flexibility, and robustness, thereby paving the way for autonomous and efficient network management."
7,"H. Zhou, W. Saad, and D. Niyato, ""Large Language Model (LLM) for Telecommunications: A Comprehensive Survey on Principles, Key Techniques, and Opportunities,"" IEEE Communications Surveys & Tutorials, vol. 26, no. 2, pp. 879–913, 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10685369/","Large language models (LLMs) have demonstrated exceptional comprehension and reasoning, presenting significant opportunities for automating telecommunications tasks and enabling artificial general intelligence (AGI) in 6G networks. This survey details LLM fundamentalssuch as transformer architectures (encoder-only, encoder-decoder, decoder-only), pre-training on diverse datasets with optimizations like ZeRO, and fine-tuning strategies including instruction and alignment tuningalongside prompt engineering (in-context learning, chain-of-thought) and deployment strategies balancing cloud, edge, and device resources. LLM-enabled applications include generation tasks (telecom knowledge, code generation, network configuration), classification tasks (security, text, image, encrypted traffic), optimization problems (reinforcement learning reward design, black-box and convex optimization, heuristic algorithm generation), and prediction (time-series, multi-modal data integration). The work highlights challenges including telecom domain-specific data scarcity, computational and privacy constraints, and prompt design complexity. Future directions propose multi-modal LLMs for enhanced sensing and prediction, automated multi-step planning, LLM-based network resource optimization, efficient on-device deployment with model compression, and methods to mitigate hallucinations and improve retrieval-augmented generation. This comprehensive overview serves as a foundational guide to exploiting LLMs in transforming telecom networks toward 6G capabilities."
8,"D. Niyato, ""Editorial: Fourth Quarter 2023 IEEE Communications Surveys and Tutorials,"" IEEE Communications Surveys & Tutorials, vol. 25, no. 4, pp. 3456–3463, 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10325334/","This editorial provides an overview of the Fourth Quarter 2023 issue of IEEE Communications Surveys & Tutorials, emphasizing the inclusion of 25 papers that cover critical areas such as 5G/6G wireless networks, AI integration in communications, network security, and emerging paradigms. Instead of detailed research findings, it offers contextual insights highlighting the importance of comprehensive survey papers in guiding future research directions amidst the evolving landscape shaped by AI and advanced wireless technologies. The editorial acknowledges the contributions of authors and reviewers and reiterates the journals dedication to advancing knowledge and fostering innovation in communications through valuable surveys and tutorials."
9,"D. Niyato, et al., ""Survey on Wireless Communications,"" IEEE Communications Surveys & Tutorials, vol. 23, no. 1, pp. 1–40, 2021. [Online]. Available: https://ieeexplore.ieee.org/document/9621329/","This paper provides a comprehensive survey of wireless communications, encompassing fundamental technologies, recent advances, and future research directions. It addresses key areas such as communication theories, multiple access techniques, network architectures, and performance optimization. The introduction highlights the impact of advanced wireless standards (including 5G/6G), the evolution of cellular and Wi-Fi technologies, and the significance of integrating diverse wireless paradigms to meet challenges from growing data traffic, device density, and service heterogeneity. Overall, the survey aims to offer a thorough understanding of current wireless communication technologies and emphasizes emerging trends and challenges in the field."
10,"M. Simsek, A. Aijaz, M. Dohler, J. Sachs, and G. Fettweis, ""5G-Enabled Tactile Internet,"" IEEE Journal on Selected Areas in Communications, vol. 34, no. 3, pp. 460-473, Mar. 2016. [Online]. Available: https://ieeexplore.ieee.org/document/7403840/","The paper explores the Tactile Internet as a next-generation networking paradigm enabling real-time haptic communications with ultra-low latency (close to 1 millisecond) and ultra-high reliability (above 99.999%). It positions 5G mobile networks as the key technology enabler, leveraging innovations like short frame structures, grant-free access, Multi-access Edge Computing (MEC), network slicing, and advanced retransmission schemes to meet stringent quality of service requirements. The Tactile Internet supports revolutionary applications such as remote surgery, autonomous vehicles, smart factories, and immersive virtual reality by allowing human-in-the-loop or machine-to-machine interaction with real-time tactile feedback. A fundamental latency model is given by the equation $T_{\text{end-to-end}} = T_{\text{tx}} + T_{\text{prop}} + T_{\text{proc}} + T_{\text{queue}} + T_{\text{retrans}}$, where these components represent transmission, propagation, processing, queueing, and retransmission delays that collectively must remain below 1 ms. Challenges involve securing ultra-low latency, ultra-reliability, availability, scalability, and privacy in highly variable wireless environments, necessitating radical redesigns of communication protocols and network architectures. The paper emphasizes future cross-disciplinary research in communications, control, and real-time computing to fully realize the Tactile Internets transformative potential."
