System,category,claude-3.7,gemini-2.5,gpt-4.1,MeanReviewers
AURORA,Analysis,4.56,4.56,4.56,4.56
AURORA,Literature,4.96,4.93,4.96,4.95
AURORA,Organization,4.85,4.78,4.82,4.82
AURORA,Originality,4.37,4.44,4.52,4.44
AURORA,Presentation,4.85,4.82,4.85,4.84
AURORA,References,5.0,4.94,5.0,4.98
AURORA,Scope,4.3,4.26,4.33,4.3
Autosurvey,Analysis,3.96,3.91,3.96,3.94
Autosurvey,Literature,4.54,4.5,4.54,4.53
Autosurvey,Organization,4.42,4.16,4.21,4.26
Autosurvey,Originality,3.92,3.92,3.79,3.88
Autosurvey,Presentation,3.63,3.59,3.5,3.57
Autosurvey,References,4.88,4.75,4.81,4.81
Autosurvey,Scope,4.21,4.0,4.08,4.1
Baseline,Analysis,3.75,3.72,3.76,3.74
Baseline,Literature,4.69,4.71,4.7,4.7
Baseline,Organization,4.48,4.52,4.56,4.52
Baseline,Originality,3.95,3.98,3.97,3.97
Baseline,Presentation,4.35,4.34,4.35,4.35
Baseline,References,4.95,4.93,4.95,4.94
Baseline,Scope,4.16,4.04,4.22,4.14
SurveyForge,Analysis,4.47,4.45,4.43,4.45
SurveyForge,Literature,4.78,4.78,4.81,4.79
SurveyForge,Organization,4.56,4.53,4.55,4.55
SurveyForge,Originality,4.07,4.1,4.13,4.1
SurveyForge,Presentation,3.83,3.89,3.89,3.87
SurveyForge,References,4.9,4.83,4.83,4.85
SurveyForge,Scope,4.23,4.2,4.26,4.23
SurveyX,Analysis,3.64,3.69,3.6,3.64
SurveyX,Literature,4.27,4.3,4.31,4.29
SurveyX,Organization,4.45,4.42,4.35,4.41
SurveyX,Originality,3.69,3.69,3.67,3.68
SurveyX,Presentation,4.25,4.25,4.16,4.22
SurveyX,References,4.47,4.46,4.42,4.45
SurveyX,Scope,3.99,4.01,4.0,4.0
